2021 super output area - lower layer,Geog_Code,Total: All usual residents,%,"Asian, Asian British or Asian Welsh",% ,"Asian, Asian British or Asian Welsh: Bangladeshi",%,"Asian, Asian British or Asian Welsh: Chinese",%,"Asian, Asian British or Asian Welsh: Indian",%,"Asian, Asian British or Asian Welsh: Pakistani",%,"Asian, Asian British or Asian Welsh: Other Asian",%,"Black, Black British, Black Welsh, Caribbean or African",%,"Black, Black British, Black Welsh, Caribbean or African: African",%,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",%,"Black, Black British, Black Welsh, Caribbean or African: Other Black",%,Mixed or Multiple ethnic groups,%,Mixed or Multiple ethnic groups: White and Asian,%,Mixed or Multiple ethnic groups: White and Black African,%,Mixed or Multiple ethnic groups: White and Black Caribbean,%,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,%,White,%,"White: English, Welsh, Scottish, Northern Irish or British","% White: English, Welsh, Scottish, Northern Irish or British",White: Irish,%,White: Gypsy or Irish Traveller,%,White: Roma,%,White: Other White,%,Other ethnic group,%,Other ethnic group: Arab,%,Other ethnic group: Any other ethnic group,%
Birmingham 057D,E01009301,1667,100,141,8.5,22,1.3,7,0.4,8,0.5,73,4.4,31,1.9,155,9.3,95,5.7,44,2.6,16,1,126,7.6,27,1.6,4,0.2,83,5,12,0.7,1202,72.1,1127,67.6,28,1.7,0,0,1,0.1,46,2.8,43,2.6,16,1,27,1.6
Birmingham 057E,E01009303,1505,100,185,12.3,53,3.5,9,0.6,7,0.5,103,6.8,13,0.9,71,4.7,23,1.5,35,2.3,13,0.9,98,6.5,18,1.2,3,0.2,62,4.1,15,1,1137,75.5,1057,70.2,30,2,0,0,0,0,50,3.3,14,0.9,2,0.1,12,0.8
Birmingham 058A,E01009195,2761,100,2176,78.8,96,3.5,7,0.3,18,0.7,1943,70.4,112,4.1,199,7.2,161,5.8,35,1.3,3,0.1,44,1.6,6,0.2,4,0.1,17,0.6,17,0.6,176,6.4,135,4.9,10,0.4,0,0,11,0.4,20,0.7,166,6,15,0.5,151,5.5
Birmingham 058C,E01009197,1924,100,1175,61.1,119,6.2,6,0.3,21,1.1,933,48.5,96,5,363,18.9,305,15.9,47,2.4,11,0.6,40,2.1,16,0.8,2,0.1,10,0.5,12,0.6,173,9,126,6.5,5,0.3,4,0.2,5,0.3,33,1.7,173,9,46,2.4,127,6.6
Birmingham 058F,E01033649,2100,100,1455,69.3,218,10.4,2,0.1,25,1.2,1077,51.3,133,6.3,203,9.7,159,7.6,31,1.5,13,0.6,62,3,20,1,14,0.7,8,0.4,20,1,160,7.6,96,4.6,4,0.2,9,0.4,18,0.9,33,1.6,220,10.5,54,2.6,166,7.9
Birmingham 058G,E01034935,3405,100,2210,64.9,253,7.4,1,0,39,1.1,1678,49.3,239,7,398,11.7,345,10.1,32,0.9,21,0.6,120,3.5,39,1.1,18,0.5,17,0.5,46,1.4,314,9.2,199,5.8,11,0.3,13,0.4,19,0.6,72,2.1,363,10.7,92,2.7,271,8
Birmingham 060A,E01009138,2222,100,1214,54.6,46,2.1,29,1.3,450,20.3,571,25.7,118,5.3,343,15.4,237,10.7,74,3.3,32,1.4,79,3.6,16,0.7,7,0.3,21,0.9,35,1.6,402,18.1,253,11.4,17,0.8,2,0.1,8,0.4,122,5.5,184,8.3,64,2.9,120,5.4
Birmingham 060B,E01009139,1605,100,606,37.8,0,0,11,0.7,226,14.1,309,19.3,60,3.7,283,17.6,190,11.8,76,4.7,17,1.1,58,3.6,11,0.7,12,0.7,15,0.9,20,1.2,570,35.5,413,25.7,18,1.1,0,0,7,0.4,132,8.2,88,5.5,22,1.4,66,4.1
Birmingham 060C,E01009140,2198,100,829,37.7,16,0.7,33,1.5,408,18.6,268,12.2,104,4.7,314,14.3,158,7.2,132,6,24,1.1,137,6.2,21,1,9,0.4,61,2.8,46,2.1,725,33,486,22.1,35,1.6,0,0,6,0.3,198,9,193,8.8,50,2.3,143,6.5
Birmingham 060D,E01009145,1972,100,834,42.3,31,1.6,18,0.9,405,20.5,235,11.9,145,7.4,331,16.8,218,11.1,93,4.7,20,1,93,4.7,29,1.5,13,0.7,36,1.8,15,0.8,523,26.5,339,17.2,14,0.7,9,0.5,2,0.1,159,8.1,191,9.7,40,2,151,7.7
