2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over,%,No qualifications,%,Level 1 and entry level qualifications,%,Level 2 qualifications,%,Apprenticeship,%,Level 3 qualifications,%,Level 4 qualifications or above,% Level 4 qualifications or above  ,Other qualifications,%
Birmingham 076B,E01008886,1218,100,309,25.4,118,9.7,179,14.7,52,4.3,189,15.5,337,27.7,34,2.8
Birmingham 076C,E01008888,1298,100,250,19.3,145,11.2,227,17.5,69,5.3,272,21,303,23.3,32,2.5
Birmingham 076D,E01009313,1312,100,323,24.6,157,12,180,13.7,57,4.3,215,16.4,339,25.8,41,3.1
Birmingham 077A,E01009368,1133,100,398,35.1,141,12.4,130,11.5,17,1.5,173,15.3,250,22.1,24,2.1
Birmingham 077D,E01009371,1375,100,470,34.2,176,12.8,221,16.1,30,2.2,176,12.8,264,19.2,38,2.8
Birmingham 077E,E01009397,1308,100,442,33.8,161,12.3,181,13.8,24,1.8,189,14.4,261,20,50,3.8
Birmingham 077F,E01033650,2025,100,802,39.6,216,10.7,248,12.2,31,1.5,284,14,367,18.1,77,3.8
Birmingham 078A,E01008883,1444,100,410,28.4,204,14.1,207,14.3,52,3.6,197,13.6,324,22.4,50,3.5
Birmingham 078B,E01008884,1503,100,489,32.5,211,14,226,15,54,3.6,191,12.7,280,18.6,52,3.5
Birmingham 078C,E01008887,1232,100,299,24.3,153,12.4,198,16.1,52,4.2,234,19,245,19.9,51,4.1
Birmingham 078D,E01008889,1439,100,404,28.1,168,11.7,170,11.8,56,3.9,221,15.4,373,25.9,47,3.3
Birmingham 079A,E01008982,1344,100,142,10.6,54,4,133,9.9,29,2.2,168,12.5,791,58.9,27,2
Birmingham 079C,E01008992,1501,100,80,5.3,42,2.8,87,5.8,10,0.7,535,35.6,716,47.7,31,2.1
Birmingham 079E,E01009283,1493,100,185,12.4,57,3.8,120,8,20,1.3,271,18.2,809,54.2,31,2.1
Birmingham 079G,E01034936,2546,100,136,5.3,34,1.3,65,2.6,6,0.2,1704,66.9,569,22.3,32,1.3
Birmingham 079H,E01034937,2301,100,117,5.1,31,1.3,95,4.1,21,0.9,1145,49.8,845,36.7,47,2
Birmingham 080A,E01009249,1284,100,253,19.7,127,9.9,169,13.2,70,5.5,213,16.6,416,32.4,36,2.8
Birmingham 080B,E01009250,1410,100,273,19.4,149,10.6,195,13.8,80,5.7,251,17.8,427,30.3,35,2.5
Birmingham 080C,E01009251,1220,100,191,15.7,94,7.7,143,11.7,48,3.9,187,15.3,526,43.1,31,2.5
Birmingham 080D,E01009253,1324,100,212,16,134,10.1,196,14.8,63,4.8,226,17.1,466,35.2,27,2
Birmingham 080E,E01009255,1200,100,254,21.2,136,11.3,164,13.7,50,4.2,226,18.8,335,27.9,35,2.9
Birmingham 080F,E01009257,1231,100,287,23.3,133,10.8,156,12.7,70,5.7,195,15.8,360,29.2,30,2.4
Birmingham 081A,E01009315,1431,100,391,27.3,177,12.4,211,14.7,78,5.5,220,15.4,312,21.8,42,2.9
Birmingham 081B,E01009316,1540,100,337,21.9,165,10.7,238,15.5,73,4.7,287,18.6,405,26.3,35,2.3
Birmingham 081C,E01009317,1569,100,304,19.4,227,14.5,235,15,79,5,285,18.2,392,25,47,3
Birmingham 081D,E01009318,1264,100,284,22.5,151,11.9,177,14,74,5.9,236,18.7,319,25.2,23,1.8
Birmingham 081E,E01009319,1301,100,268,20.6,139,10.7,201,15.4,78,6,272,20.9,305,23.4,38,2.9
Birmingham 081F,E01009320,1341,100,292,21.8,164,12.2,199,14.8,66,4.9,242,18,340,25.4,38,2.8
Birmingham 082A,E01009372,1240,100,446,36,170,13.7,156,12.6,23,1.9,167,13.5,237,19.1,41,3.3
Birmingham 082B,E01009373,1293,100,494,38.2,153,11.8,156,12.1,30,2.3,185,14.3,231,17.9,44,3.4
Birmingham 082D,E01009396,1624,100,580,35.7,202,12.4,221,13.6,26,1.6,233,14.3,329,20.3,33,2
Birmingham 082F,E01033643,2367,100,844,35.7,289,12.2,338,14.3,58,2.5,328,13.9,422,17.8,88,3.7
Birmingham 083A,E01009367,1337,100,489,36.6,147,11,145,10.8,33,2.5,194,14.5,291,21.8,38,2.8
Birmingham 083B,E01009375,1429,100,458,32.1,163,11.4,204,14.3,32,2.2,202,14.1,331,23.2,39,2.7
Birmingham 083C,E01009377,1025,100,384,37.5,135,13.2,140,13.7,22,2.1,142,13.9,184,18,18,1.8
Birmingham 083D,E01009383,1109,100,342,30.8,123,11.1,129,11.6,21,1.9,156,14.1,315,28.4,23,2.1
Birmingham 083E,E01009399,1116,100,394,35.3,155,13.9,162,14.5,20,1.8,145,13,206,18.5,34,3
Birmingham 084A,E01009366,1256,100,391,31.1,167,13.3,162,12.9,36,2.9,184,14.6,278,22.1,38,3
Birmingham 084B,E01009374,911,100,314,34.5,94,10.3,115,12.6,24,2.6,141,15.5,207,22.7,16,1.8
Birmingham 084C,E01009376,1202,100,369,30.7,153,12.7,139,11.6,44,3.7,187,15.6,287,23.9,23,1.9
Birmingham 084F,E01033648,2064,100,677,32.8,246,11.9,277,13.4,27,1.3,315,15.3,470,22.8,52,2.5
Birmingham 085A,E01009073,1134,100,320,28.2,145,12.8,159,14,50,4.4,159,14,251,22.1,50,4.4
Birmingham 085B,E01009074,1295,100,323,24.9,150,11.6,175,13.5,55,4.2,180,13.9,359,27.7,53,4.1
Birmingham 085C,E01009254,1551,100,372,24,171,11,172,11.1,41,2.6,212,13.7,550,35.5,33,2.1
Birmingham 085D,E01009256,1260,100,279,22.1,106,8.4,155,12.3,47,3.7,211,16.7,422,33.5,40,3.2
Birmingham 085E,E01009258,1142,100,318,27.8,172,15.1,152,13.3,60,5.3,164,14.4,248,21.7,28,2.5
Birmingham 087B,E01009071,1411,100,226,16,82,5.8,117,8.3,35,2.5,207,14.7,729,51.7,15,1.1
Birmingham 087C,E01009075,1371,100,301,22,131,9.6,101,7.4,53,3.9,202,14.7,544,39.7,39,2.8
Birmingham 087E,E01009078,1335,100,221,16.6,76,5.7,60,4.5,31,2.3,309,23.1,607,45.5,31,2.3
Birmingham 087F,E01033562,2162,100,296,13.7,150,6.9,146,6.8,48,2.2,400,18.5,1018,47.1,104,4.8
Birmingham 088C,E01009183,1314,100,126,9.6,58,4.4,104,7.9,9,0.7,152,11.6,841,64,24,1.8
Birmingham 088D,E01009186,1466,100,202,13.8,100,6.8,115,7.8,19,1.3,193,13.2,811,55.3,26,1.8
Birmingham 088F,E01034938,1487,100,402,27,175,11.8,200,13.4,22,1.5,263,17.7,365,24.5,60,4
Birmingham 088G,E01034939,1316,100,433,32.9,130,9.9,130,9.9,24,1.8,213,16.2,338,25.7,48,3.6
Birmingham 089A,E01008890,1443,100,344,23.8,148,10.3,172,11.9,58,4,273,18.9,416,28.8,32,2.2
Birmingham 089B,E01008891,1289,100,284,22,147,11.4,188,14.6,67,5.2,241,18.7,326,25.3,36,2.8
Birmingham 089C,E01008892,1126,100,341,30.3,113,10,140,12.4,47,4.2,173,15.4,273,24.2,39,3.5
Birmingham 089D,E01008893,1388,100,283,20.4,137,9.9,185,13.3,55,4,237,17.1,452,32.6,39,2.8
