"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01009249",58.2,4.5,4.2,32.4
"E01009250",69.4,3.7,3.7,30.3
"E01009251",59.8,1.1,3.5,43.1
"E01009252",53.2,0.8,2.2,62.4
"E01009253",60,3.3,4.2,35.2
"E01009254",47.7,3.7,4.8,35.5
"E01009255",54.2,6.9,4.7,27.9
"E01009256",53,5.9,4.4,33.5
"E01009257",50.7,6,4.2,29.2
"E01009258",57,9.2,6.5,21.7
"E01009259",54.9,10.1,7.1,23.3
"E01009260",31.3,1.3,2.3,53.4
"E01009261",46.9,3,3.3,45.3
"E01009262",9,6.2,3.7,38
"E01009263",15.9,8.1,6.7,35.9
"E01009264",36.2,33,3.9,36.5
"E01009265",12,7.6,4.9,30.4
"E01009266",10.3,8.1,3.7,24
"E01009267",11.7,11,3.1,34.1
"E01009268",4.9,2.5,2.9,26.9
"E01009269",9.4,6,6.2,20.6
"E01009270",5.8,8.9,7.9,23.2
"E01009271",6.2,5.6,6.1,19.5
"E01009272",9.6,9.3,6.2,25.4
"E01009273",5.5,6.5,5.9,22.4
"E01009274",6.3,12.7,8.2,23.9
"E01009275",4.4,7.2,7.3,19.9
"E01009276",10.9,4.3,3.2,35.5
"E01009278",9.9,3.7,3.6,40.2
"E01009279",8.4,5.3,3.9,41.2
"E01009280",65.3,2.3,2.1,44.8
"E01009281",74.8,2,2.4,47.7
"E01009282",57.4,3.7,4,36.3
"E01009283",51,5.6,2.3,54.2
"E01009284",48.3,14.1,1.8,25.7
"E01009286",69.1,21.8,1.3,19
"E01009288",49.8,7.6,3.4,52.5
"E01009289",63.9,25.6,1.5,14.3
"E01009290",68.4,25,1.1,16.2
"E01009291",63.8,5.8,4.2,34.2
"E01009292",53.5,4.7,2.8,48.6
"E01009293",51.4,4.2,3.8,40.8
"E01009294",62.2,4.2,3.8,49.2
"E01009295",49.6,6.6,3.9,35.9
"E01009296",46.6,4.1,4.5,47
"E01009297",71.8,5.1,4.8,18.9
"E01009298",52.5,8.6,6.7,22.4
"E01009299",57.8,9.5,5.9,18.7
"E01009300",51.7,12.6,5.8,19.7
"E01009301",67.6,12.1,8.7,16.7
"E01009302",83.5,4.3,3.3,18.2
"E01009303",70.2,12.2,6.3,17.3
"E01009304",79.6,12.6,5.5,18.1
"E01009305",65.5,14.3,6.6,18.3
"E01009306",76.5,5.9,4.1,17.5
"E01009307",70.3,11.2,5.4,17.4
"E01009308",71.2,13.1,5,16.2
"E01009309",67.5,11.4,5.8,21
"E01009310",72.2,11.5,4.9,19.2
"E01009311",48.8,10.9,5.8,18.3
"E01009312",68.3,2.9,2.9,26.6
"E01009313",58.9,7.1,3.7,25.8
"E01009314",65.4,5.9,4.8,17.8
"E01009315",67.7,5.6,4.1,21.8
"E01009316",59.5,4,4.2,26.3
"E01009317",70.7,8.8,5.2,25
"E01009318",81.7,5.6,3.2,25.2
"E01009319",77.5,2.2,3.3,23.4
"E01009320",70.1,2.9,3.4,25.4
"E01009321",67.5,10.4,5.9,16.4
"E01009322",60.3,10.3,6,19
"E01009323",57.5,7.4,4.8,20.1
"E01009324",74.8,1.7,2.5,21.7
"E01009325",9.9,15.1,6.2,18.6
"E01009326",9.1,15.9,6.6,21.7
"E01009327",2.3,12.9,6,17.3
"E01009328",1.6,14.9,5.2,17.1
"E01009329",2.4,16.5,6.2,20.7
"E01009331",2,13.1,7.2,20.3
"E01009332",11.9,12.3,7.7,18.6
"E01009333",3.3,9.5,6.3,17.3
"E01009334",1.4,9.7,4.4,22
"E01009335",2.4,11.8,4.8,18.7
