2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 076B,E01008886,692,100,293,42.3,197,28.5,179,25.9,21,3,2,0.3
Birmingham 076C,E01008888,632,100,430,68,144,22.8,47,7.4,9,1.4,2,0.3
Birmingham 076D,E01009313,631,100,362,57.4,122,19.3,94,14.9,45,7.1,8,1.3
Birmingham 077A,E01009368,413,100,105,25.4,65,15.7,126,30.5,73,17.7,44,10.7
Birmingham 077D,E01009371,521,100,162,31.1,120,23,115,22.1,71,13.6,53,10.2
Birmingham 077E,E01009397,463,100,141,30.5,83,17.9,125,27,75,16.2,39,8.4
Birmingham 077F,E01033650,721,100,198,27.5,171,23.7,190,26.4,102,14.1,60,8.3
Birmingham 078A,E01008883,636,100,233,36.6,166,26.1,156,24.5,57,9,24,3.8
Birmingham 078B,E01008884,711,100,273,38.4,190,26.7,172,24.2,44,6.2,32,4.5
Birmingham 078C,E01008887,616,100,230,37.3,164,26.6,147,23.9,61,9.9,14,2.3
Birmingham 078D,E01008889,663,100,287,43.3,142,21.4,149,22.5,63,9.5,22,3.3
Birmingham 079A,E01008982,707,100,181,25.6,213,30.1,259,36.6,48,6.8,6,0.8
Birmingham 079C,E01008992,478,100,251,52.5,137,28.7,83,17.4,6,1.3,1,0.2
Birmingham 079E,E01009283,612,100,341,55.7,135,22.1,86,14.1,34,5.6,16,2.6
Birmingham 079G,E01034936,406,100,230,56.7,120,29.6,48,11.8,4,1,4,1
Birmingham 079H,E01034937,447,100,182,40.7,85,19,161,36,17,3.8,2,0.4
Birmingham 080A,E01009249,647,100,426,65.8,132,20.4,53,8.2,29,4.5,7,1.1
Birmingham 080B,E01009250,734,100,400,54.5,190,25.9,115,15.7,27,3.7,2,0.3
Birmingham 080C,E01009251,629,100,471,74.9,112,17.8,37,5.9,7,1.1,2,0.3
Birmingham 080D,E01009253,629,100,392,62.3,128,20.3,82,13,21,3.3,6,1
Birmingham 080E,E01009255,624,100,277,44.4,180,28.8,117,18.8,43,6.9,7,1.1
Birmingham 080F,E01009257,618,100,262,42.4,155,25.1,154,24.9,37,6,10,1.6
Birmingham 081A,E01009315,838,100,265,31.6,253,30.2,266,31.7,47,5.6,7,0.8
Birmingham 081B,E01009316,793,100,330,41.6,242,30.5,177,22.3,32,4,12,1.5
Birmingham 081C,E01009317,848,100,319,37.6,246,29,192,22.6,75,8.8,16,1.9
Birmingham 081D,E01009318,638,100,257,40.3,229,35.9,111,17.4,36,5.6,5,0.8
Birmingham 081E,E01009319,625,100,418,66.9,143,22.9,49,7.8,14,2.2,1,0.2
Birmingham 081F,E01009320,655,100,391,59.7,157,24,82,12.5,19,2.9,6,0.9
Birmingham 082A,E01009372,418,100,129,30.9,112,26.8,77,18.4,60,14.4,40,9.6
