2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 009B,E01009451,1113,100,738,66.3,702,63.1,599,53.8,136,12.2,463,41.6,17,1.5,1,0.1,16,1.4,86,7.7,38,3.4,48,4.3,36,3.2,27,2.4,14,1.3,13,1.2,9,0.8,4,0.4,0,0,0,0,0,0,1,0.1,1,0.1,0,0,13,1.2,348,31.3,207,18.6,49,4.4,37,3.3,36,3.2,19,1.7
Birmingham 009C,E01009453,1096,100,719,65.6,701,64,603,55,138,12.6,465,42.4,13,1.2,0,0,13,1.2,85,7.8,40,3.6,45,4.1,18,1.6,17,1.6,14,1.3,14,1.3,11,1,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,360,32.8,227,20.7,51,4.7,35,3.2,30,2.7,17,1.6
Birmingham 009D,E01009466,1371,100,812,59.2,799,58.3,660,48.1,142,10.4,518,37.8,23,1.7,4,0.3,19,1.4,116,8.5,57,4.2,59,4.3,13,0.9,13,0.9,10,0.7,9,0.7,9,0.7,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,3,0.2,546,39.8,407,29.7,56,4.1,38,2.8,35,2.6,10,0.7
Birmingham 009E,E01009471,1531,100,853,55.7,831,54.3,686,44.8,160,10.5,526,34.4,40,2.6,7,0.5,33,2.2,105,6.9,58,3.8,47,3.1,22,1.4,25,1.6,15,1,13,0.8,7,0.5,6,0.4,0,0,0,0,0,0,2,0.1,2,0.1,0,0,10,0.7,653,42.7,396,25.9,74,4.8,45,2.9,109,7.1,29,1.9
Birmingham 010A,E01009135,1201,100,620,51.6,597,49.7,506,42.1,116,9.7,390,32.5,17,1.4,5,0.4,12,1,74,6.2,20,1.7,54,4.5,23,1.9,21,1.7,15,1.2,12,1,9,0.7,3,0.2,1,0.1,1,0.1,0,0,2,0.2,1,0.1,1,0.1,6,0.5,560,46.6,357,29.7,85,7.1,46,3.8,42,3.5,30,2.5
Birmingham 010B,E01009469,1195,100,635,53.1,613,51.3,515,43.1,127,10.6,388,32.5,22,1.8,7,0.6,15,1.3,76,6.4,34,2.8,42,3.5,22,1.8,19,1.6,13,1.1,12,1,7,0.6,5,0.4,0,0,0,0,0,0,1,0.1,0,0,1,0.1,6,0.5,541,45.3,391,32.7,67,5.6,42,3.5,22,1.8,19,1.6
Birmingham 010C,E01009470,1178,100,696,59.1,672,57,551,46.8,145,12.3,406,34.5,32,2.7,6,0.5,26,2.2,89,7.6,45,3.8,44,3.7,24,2,19,1.6,16,1.4,15,1.3,11,0.9,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,3,0.3,463,39.3,358,30.4,45,3.8,35,3,13,1.1,12,1
Birmingham 010D,E01009472,1336,100,809,60.6,776,58.1,666,49.9,161,12.1,505,37.8,20,1.5,2,0.1,18,1.3,90,6.7,37,2.8,53,4,33,2.5,23,1.7,18,1.3,15,1.1,12,0.9,3,0.2,0,0,0,0,0,0,3,0.2,3,0.2,0,0,5,0.4,504,37.7,346,25.9,59,4.4,35,2.6,31,2.3,33,2.5
Birmingham 010E,E01009473,1282,100,760,59.3,727,56.7,653,50.9,150,11.7,503,39.2,12,0.9,4,0.3,8,0.6,62,4.8,26,2,36,2.8,33,2.6,23,1.8,15,1.2,15,1.2,9,0.7,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,499,38.9,313,24.4,60,4.7,55,4.3,33,2.6,38,3
Birmingham 010F,E01009474,1268,100,780,61.5,756,59.6,632,49.8,149,11.8,483,38.1,17,1.3,5,0.4,12,0.9,107,8.4,40,3.2,67,5.3,24,1.9,16,1.3,9,0.7,9,0.7,7,0.6,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,472,37.2,303,23.9,50,3.9,38,3,44,3.5,37,2.9
Birmingham 011A,E01009127,1144,100,615,53.8,545,47.6,473,41.3,149,13,324,28.3,13,1.1,4,0.3,9,0.8,59,5.2,20,1.7,39,3.4,70,6.1,20,1.7,13,1.1,12,1,9,0.8,3,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,7,0.6,509,44.5,130,11.4,81,7.1,92,8,122,10.7,84,7.3
Birmingham 011B,E01009128,1027,100,545,53.1,483,47,416,40.5,108,10.5,308,30,8,0.8,0,0,8,0.8,59,5.7,23,2.2,36,3.5,62,6,29,2.8,16,1.6,13,1.3,9,0.9,4,0.4,0,0,0,0,0,0,3,0.3,1,0.1,2,0.2,13,1.3,453,44.1,140,13.6,72,7,97,9.4,100,9.7,44,4.3
Birmingham 011C,E01009130,1118,100,607,54.3,547,48.9,489,43.7,146,13.1,343,30.7,11,1,0,0,11,1,47,4.2,12,1.1,35,3.1,60,5.4,16,1.4,14,1.3,12,1.1,8,0.7,4,0.4,0,0,0,0,0,0,2,0.2,0,0,2,0.2,2,0.2,495,44.3,184,16.5,53,4.7,98,8.8,108,9.7,52,4.7
Birmingham 011D,E01009131,1101,100,612,55.6,561,51,494,44.9,167,15.2,327,29.7,10,0.9,1,0.1,9,0.8,57,5.2,28,2.5,29,2.6,51,4.6,23,2.1,15,1.4,15,1.4,11,1,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,466,42.3,122,11.1,79,7.2,95,8.6,86,7.8,84,7.6
Birmingham 011E,E01009133,1135,100,610,53.7,546,48.1,487,42.9,155,13.7,332,29.3,5,0.4,1,0.1,4,0.4,54,4.8,18,1.6,36,3.2,64,5.6,20,1.8,13,1.1,11,1,10,0.9,1,0.1,0,0,0,0,0,0,2,0.2,2,0.2,0,0,7,0.6,505,44.5,157,13.8,107,9.4,74,6.5,123,10.8,44,3.9
Birmingham 011F,E01009134,1269,100,710,55.9,640,50.4,547,43.1,161,12.7,386,30.4,13,1,4,0.3,9,0.7,80,6.3,24,1.9,56,4.4,70,5.5,19,1.5,11,0.9,11,0.9,9,0.7,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,540,42.6,199,15.7,89,7,92,7.2,104,8.2,56,4.4
Birmingham 011G,E01009137,1206,100,681,56.5,575,47.7,498,41.3,166,13.8,332,27.5,10,0.8,2,0.2,8,0.7,67,5.6,32,2.7,35,2.9,106,8.8,42,3.5,32,2.7,28,2.3,20,1.7,8,0.7,0,0,0,0,0,0,4,0.3,2,0.2,2,0.2,10,0.8,483,40,161,13.3,85,7,78,6.5,92,7.6,67,5.6
Birmingham 012A,E01009434,1365,100,912,66.8,897,65.7,790,57.9,168,12.3,622,45.6,20,1.5,3,0.2,17,1.2,87,6.4,34,2.5,53,3.9,15,1.1,23,1.7,21,1.5,21,1.5,20,1.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,430,31.5,293,21.5,54,4,38,2.8,22,1.6,23,1.7
Birmingham 012B,E01009436,1175,100,655,55.7,634,54,536,45.6,147,12.5,389,33.1,14,1.2,2,0.2,12,1,84,7.1,41,3.5,43,3.7,21,1.8,27,2.3,18,1.5,18,1.5,10,0.9,8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,493,42,382,32.5,46,3.9,32,2.7,13,1.1,20,1.7
