2021 super output area - lower layer,Geog_Code,Total: All usual residents aged 16 years and over,%,Economically active (excluding full-time students),%,Economically active (excluding full-time students):In employment,%,Economically active (excluding full-time students):In employment:Employee,%,Economically active (excluding full-time students): In employment: Employee: Part-time,%,Economically active (excluding full-time students): In employment: Employee: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed with employees,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,%,Economically active (excluding full-time students):In employment:Self-employed without employees,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,%,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,%,Economically active (excluding full-time students): Unemployed,% Economically active (excluding full-time students): Unemployed  ,Economically active and a full-time student,%,Economically active and a full-time student:In employment,%,Economically active and a full-time student:In employment:Employee,%,Economically active and a full-time student: In employment: Employee: Part-time,%,Economically active and a full-time student: In employment: Employee: Full-time,%,Economically active and a full-time student:In employment:Self-employed with employees,%,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,%,Economically active and a full-time student:In employment:Self-employed without employees,%,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,%,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,%,Economically active and a full-time student: Unemployed,%,Economically inactive,%,Economically inactive: Retired,%,Economically inactive: Student,%,Economically inactive: Looking after home or family,%,Economically inactive: Long-term sick or disabled,%,Economically inactive: Other,%
Birmingham 042E,E01009090,1589,100,786,49.5,723,45.5,531,33.4,201,12.6,330,20.8,39,2.5,10,0.6,29,1.8,153,9.6,94,5.9,59,3.7,63,4,59,3.7,43,2.7,40,2.5,31,2,9,0.6,0,0,0,0,0,0,3,0.2,0,0,3,0.2,16,1,744,46.8,187,11.8,182,11.5,210,13.2,81,5.1,84,5.3
Birmingham 043A,E01009201,1417,100,636,44.9,523,36.9,453,32,183,12.9,270,19.1,12,0.8,8,0.6,4,0.3,58,4.1,39,2.8,19,1.3,113,8,69,4.9,30,2.1,30,2.1,21,1.5,9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,39,2.8,712,50.2,178,12.6,171,12.1,156,11,97,6.8,110,7.8
Birmingham 043B,E01009202,1186,100,559,47.1,491,41.4,393,33.1,159,13.4,234,19.7,12,1,4,0.3,8,0.7,86,7.3,50,4.2,36,3,68,5.7,40,3.4,27,2.3,23,1.9,17,1.4,6,0.5,0,0,0,0,0,0,4,0.3,3,0.3,1,0.1,13,1.1,587,49.5,125,10.5,139,11.7,147,12.4,90,7.6,86,7.3
Birmingham 043D,E01034927,1144,100,538,47,445,38.9,378,33,202,17.7,176,15.4,13,1.1,9,0.8,4,0.3,54,4.7,36,3.1,18,1.6,93,8.1,53,4.6,35,3.1,35,3.1,26,2.3,9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,18,1.6,553,48.3,103,9,141,12.3,142,12.4,92,8,75,6.6
Birmingham 043E,E01034928,906,100,425,46.9,319,35.2,257,28.4,123,13.6,134,14.8,12,1.3,6,0.7,6,0.7,50,5.5,31,3.4,19,2.1,106,11.7,37,4.1,24,2.6,22,2.4,17,1.9,5,0.6,0,0,0,0,0,0,2,0.2,2,0.2,0,0,13,1.4,444,49,51,5.6,111,12.3,138,15.2,47,5.2,97,10.7
Birmingham 044A,E01009082,1065,100,552,51.8,505,47.4,428,40.2,141,13.2,287,26.9,13,1.2,5,0.5,8,0.8,64,6,38,3.6,26,2.4,47,4.4,47,4.4,30,2.8,25,2.3,19,1.8,6,0.6,0,0,0,0,0,0,5,0.5,5,0.5,0,0,17,1.6,466,43.8,162,15.2,84,7.9,94,8.8,65,6.1,61,5.7
Birmingham 044B,E01009086,1658,100,796,48,726,43.8,568,34.3,189,11.4,379,22.9,25,1.5,8,0.5,17,1,133,8,68,4.1,65,3.9,70,4.2,62,3.7,36,2.2,34,2.1,26,1.6,8,0.5,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,26,1.6,800,48.3,240,14.5,170,10.3,207,12.5,79,4.8,104,6.3
Birmingham 044C,E01009480,1442,100,706,49,603,41.8,506,35.1,214,14.8,292,20.2,16,1.1,5,0.3,11,0.8,81,5.6,45,3.1,36,2.5,103,7.1,54,3.7,34,2.4,32,2.2,26,1.8,6,0.4,0,0,0,0,0,0,2,0.1,2,0.1,0,0,20,1.4,682,47.3,126,8.7,157,10.9,209,14.5,72,5,118,8.2
Birmingham 044D,E01009481,1932,100,955,49.4,836,43.3,624,32.3,253,13.1,371,19.2,20,1,6,0.3,14,0.7,192,9.9,124,6.4,68,3.5,119,6.2,92,4.8,60,3.1,57,3,47,2.4,10,0.5,2,0.1,0,0,2,0.1,1,0.1,1,0.1,0,0,32,1.7,885,45.8,168,8.7,233,12.1,277,14.3,83,4.3,124,6.4
Birmingham 044E,E01009486,1538,100,666,43.3,600,39,478,31.1,211,13.7,267,17.4,28,1.8,16,1,12,0.8,94,6.1,51,3.3,43,2.8,66,4.3,58,3.8,47,3.1,37,2.4,24,1.6,13,0.8,5,0.3,5,0.3,0,0,5,0.3,5,0.3,0,0,11,0.7,814,52.9,150,9.8,187,12.2,264,17.2,104,6.8,109,7.1
Birmingham 044F,E01009487,1537,100,688,44.8,611,39.8,478,31.1,193,12.6,285,18.5,34,2.2,15,1,19,1.2,99,6.4,53,3.4,46,3,77,5,48,3.1,23,1.5,20,1.3,16,1,4,0.3,1,0.1,1,0.1,0,0,2,0.1,2,0.1,0,0,25,1.6,801,52.1,144,9.4,193,12.6,273,17.8,71,4.6,120,7.8
Birmingham 045A,E01009088,1273,100,609,47.8,560,44,476,37.4,134,10.5,342,26.9,8,0.6,1,0.1,7,0.5,76,6,43,3.4,33,2.6,49,3.8,10,0.8,8,0.6,7,0.5,4,0.3,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,2,0.2,654,51.4,373,29.3,63,4.9,101,7.9,72,5.7,45,3.5
Birmingham 045B,E01009091,1292,100,677,52.4,621,48.1,544,42.1,152,11.8,392,30.3,12,0.9,6,0.5,6,0.5,65,5,31,2.4,34,2.6,56,4.3,36,2.8,27,2.1,25,1.9,16,1.2,9,0.7,0,0,0,0,0,0,2,0.2,2,0.2,0,0,9,0.7,579,44.8,255,19.7,70,5.4,96,7.4,98,7.6,60,4.6
Birmingham 045C,E01009305,1212,100,667,55,587,48.4,515,42.5,143,11.8,372,30.7,5,0.4,0,0,5,0.4,67,5.5,28,2.3,39,3.2,80,6.6,27,2.2,20,1.7,20,1.7,11,0.9,9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,518,42.7,166,13.7,67,5.5,121,10,113,9.3,51,4.2
Birmingham 045D,E01009307,1212,100,645,53.2,579,47.8,499,41.2,131,10.8,368,30.4,9,0.7,3,0.2,6,0.5,71,5.9,27,2.2,44,3.6,66,5.4,21,1.7,8,0.7,5,0.4,5,0.4,0,0,0,0,0,0,0,0,3,0.2,3,0.2,0,0,13,1.1,546,45,228,18.8,49,4,102,8.4,115,9.5,52,4.3
Birmingham 045E,E01009309,1393,100,754,54.1,673,48.3,598,42.9,155,11.1,443,31.8,4,0.3,1,0.1,3,0.2,71,5.1,24,1.7,47,3.4,81,5.8,37,2.7,21,1.5,18,1.3,12,0.9,6,0.4,1,0.1,0,0,1,0.1,2,0.1,2,0.1,0,0,16,1.1,602,43.2,229,16.4,84,6,99,7.1,132,9.5,58,4.2
Birmingham 046A,E01009304,1425,100,868,60.9,790,55.4,698,49,178,12.5,520,36.5,15,1.1,4,0.3,11,0.8,77,5.4,27,1.9,50,3.5,78,5.5,16,1.1,9,0.6,9,0.6,3,0.2,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,541,38,254,17.8,57,4,99,6.9,92,6.5,39,2.7
Birmingham 046B,E01009306,1357,100,674,49.7,619,45.6,538,39.6,135,9.9,403,29.7,12,0.9,7,0.5,5,0.4,69,5.1,36,2.7,33,2.4,55,4.1,27,2,15,1.1,13,1,12,0.9,1,0.1,0,0,0,0,0,0,2,0.1,2,0.1,0,0,12,0.9,656,48.3,331,24.4,84,6.2,82,6,99,7.3,60,4.4
Birmingham 046C,E01009308,1374,100,777,56.6,708,51.5,636,46.3,174,12.7,462,33.6,10,0.7,2,0.1,8,0.6,62,4.5,19,1.4,43,3.1,69,5,15,1.1,9,0.7,9,0.7,8,0.6,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4,582,42.4,216,15.7,76,5.5,133,9.7,97,7.1,60,4.4
Birmingham 046D,E01009310,1486,100,828,55.7,755,50.8,658,44.3,185,12.4,473,31.8,19,1.3,5,0.3,14,0.9,78,5.2,28,1.9,50,3.4,73,4.9,29,2,19,1.3,19,1.3,15,1,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,10,0.7,629,42.3,242,16.3,83,5.6,121,8.1,114,7.7,69,4.6
Birmingham 047A,E01009348,1576,100,862,54.7,751,47.7,644,40.9,191,12.1,453,28.7,13,0.8,4,0.3,9,0.6,94,6,42,2.7,52,3.3,111,7,87,5.5,59,3.7,52,3.3,38,2.4,14,0.9,2,0.1,2,0.1,0,0,5,0.3,3,0.2,2,0.1,28,1.8,627,39.8,181,11.5,138,8.8,150,9.5,61,3.9,97,6.2
Birmingham 047B,E01009358,1755,100,798,45.5,675,38.5,560,31.9,191,10.9,369,21,43,2.5,13,0.7,30,1.7,72,4.1,48,2.7,24,1.4,123,7,64,3.6,43,2.5,39,2.2,33,1.9,6,0.3,0,0,0,0,0,0,4,0.2,4,0.2,0,0,21,1.2,893,50.9,147,8.4,233,13.3,155,8.8,130,7.4,228,13
Birmingham 047C,E01009359,1512,100,720,47.6,591,39.1,483,31.9,176,11.6,307,20.3,28,1.9,15,1,13,0.9,80,5.3,52,3.4,28,1.9,129,8.5,59,3.9,38,2.5,35,2.3,24,1.6,11,0.7,0,0,0,0,0,0,3,0.2,3,0.2,0,0,21,1.4,733,48.5,126,8.3,184,12.2,195,12.9,86,5.7,142,9.4
Birmingham 047D,E01009360,2021,100,1010,50,881,43.6,746,36.9,259,12.8,487,24.1,37,1.8,6,0.3,31,1.5,98,4.8,57,2.8,41,2,129,6.4,101,5,58,2.9,53,2.6,36,1.8,17,0.8,0,0,0,0,0,0,5,0.2,3,0.1,2,0.1,43,2.1,910,45,150,7.4,205,10.1,239,11.8,153,7.6,163,8.1
Birmingham 047E,E01009361,1554,100,662,42.6,558,35.9,452,29.1,181,11.6,271,17.4,17,1.1,9,0.6,8,0.5,89,5.7,44,2.8,45,2.9,104,6.7,65,4.2,40,2.6,39,2.5,21,1.4,18,1.2,1,0.1,1,0.1,0,0,0,0,0,0,0,0,25,1.6,827,53.2,153,9.8,210,13.5,192,12.4,133,8.6,139,8.9
Birmingham 048A,E01009478,1421,100,669,47.1,563,39.6,443,31.2,160,11.3,283,19.9,24,1.7,14,1,10,0.7,96,6.8,45,3.2,51,3.6,106,7.5,42,3,32,2.3,29,2,22,1.5,7,0.5,0,0,0,0,0,0,3,0.2,3,0.2,0,0,10,0.7,710,50,113,8,195,13.7,202,14.2,102,7.2,98,6.9
Birmingham 048B,E01009479,1647,100,686,41.7,581,35.3,458,27.8,205,12.4,253,15.4,20,1.2,3,0.2,17,1,103,6.3,67,4.1,36,2.2,105,6.4,69,4.2,35,2.1,34,2.1,30,1.8,4,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,34,2.1,892,54.2,126,7.7,195,11.8,284,17.2,115,7,172,10.4
Birmingham 048C,E01009482,1213,100,523,43.1,436,35.9,344,28.4,132,10.9,212,17.5,19,1.6,11,0.9,8,0.7,73,6,43,3.5,30,2.5,87,7.2,50,4.1,36,3,32,2.6,27,2.2,5,0.4,0,0,0,0,0,0,4,0.3,3,0.2,1,0.1,14,1.2,640,52.8,103,8.5,121,10,223,18.4,78,6.4,115,9.5
Birmingham 048D,E01009484,1311,100,539,41.1,448,34.2,348,26.5,158,12.1,190,14.5,14,1.1,6,0.5,8,0.6,86,6.6,56,4.3,30,2.3,91,6.9,53,4,35,2.7,33,2.5,31,2.4,2,0.2,1,0.1,1,0.1,0,0,1,0.1,1,0.1,0,0,18,1.4,719,54.8,81,6.2,163,12.4,232,17.7,93,7.1,150,11.4
Birmingham 048E,E01009485,1447,100,611,42.2,553,38.2,440,30.4,180,12.4,260,18,12,0.8,5,0.3,7,0.5,101,7,53,3.7,48,3.3,58,4,52,3.6,37,2.6,32,2.2,27,1.9,5,0.3,0,0,0,0,0,0,5,0.3,1,0.1,4,0.3,15,1,784,54.2,136,9.4,185,12.8,276,19.1,72,5,115,7.9
Birmingham 049A,E01008906,1363,100,600,44,488,35.8,403,29.6,190,13.9,213,15.6,21,1.5,8,0.6,13,1,64,4.7,28,2.1,36,2.6,112,8.2,70,5.1,36,2.6,31,2.3,25,1.8,6,0.4,0,0,0,0,0,0,5,0.4,2,0.1,3,0.2,34,2.5,693,50.8,79,5.8,174,12.8,254,18.6,63,4.6,123,9
Birmingham 049B,E01008911,1224,100,545,44.5,447,36.5,363,29.7,173,14.1,190,15.5,21,1.7,11,0.9,10,0.8,63,5.1,40,3.3,23,1.9,98,8,65,5.3,40,3.3,37,3,27,2.2,10,0.8,0,0,0,0,0,0,3,0.2,2,0.2,1,0.1,25,2,614,50.2,102,8.3,174,14.2,169,13.8,52,4.2,117,9.6
Birmingham 049D,E01009347,1138,100,564,49.6,485,42.6,409,35.9,164,14.4,245,21.5,11,1,7,0.6,4,0.4,65,5.7,43,3.8,22,1.9,79,6.9,23,2,19,1.7,19,1.7,16,1.4,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,551,48.4,118,10.4,132,11.6,109,9.6,94,8.3,98,8.6
Birmingham 049E,E01033559,1400,100,1103,78.8,1012,72.3,916,65.4,96,6.9,820,58.6,11,0.8,2,0.1,9,0.6,85,6.1,32,2.3,53,3.8,91,6.5,78,5.6,51,3.6,46,3.3,32,2.3,14,1,1,0.1,1,0.1,0,0,4,0.3,2,0.1,2,0.1,27,1.9,219,15.6,16,1.1,84,6,42,3,26,1.9,51,3.6
Birmingham 049F,E01033638,1353,100,591,43.7,472,34.9,408,30.2,186,13.7,222,16.4,17,1.3,11,0.8,6,0.4,47,3.5,28,2.1,19,1.4,119,8.8,67,5,45,3.3,41,3,31,2.3,10,0.7,0,0,0,0,0,0,4,0.3,3,0.2,1,0.1,22,1.6,695,51.4,125,9.2,187,13.8,180,13.3,90,6.7,113,8.4
Birmingham 050A,E01008910,1251,100,552,44.1,438,35,363,29,163,13,200,16,14,1.1,9,0.7,5,0.4,61,4.9,42,3.4,19,1.5,114,9.1,60,4.8,35,2.8,35,2.8,28,2.2,7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,25,2,639,51.1,70,5.6,201,16.1,215,17.2,73,5.8,80,6.4
Birmingham 050B,E01008913,1610,100,791,49.1,648,40.2,544,33.8,186,11.6,358,22.2,27,1.7,10,0.6,17,1.1,77,4.8,50,3.1,27,1.7,143,8.9,62,3.9,44,2.7,41,2.5,29,1.8,12,0.7,0,0,0,0,0,0,3,0.2,1,0.1,2,0.1,18,1.1,757,47,188,11.7,174,10.8,183,11.4,100,6.2,112,7
Birmingham 050E,E01033561,2342,100,297,12.7,252,10.8,215,9.2,72,3.1,143,6.1,5,0.2,3,0.1,2,0.1,32,1.4,21,0.9,11,0.5,45,1.9,463,19.8,249,10.6,226,9.6,195,8.3,31,1.3,3,0.1,3,0.1,0,0,20,0.9,20,0.9,0,0,214,9.1,1582,67.5,82,3.5,1343,57.3,67,2.9,42,1.8,48,2
Birmingham 050F,E01033617,5573,100,699,12.5,622,11.2,567,10.2,55,1,512,9.2,8,0.1,0,0,8,0.1,47,0.8,24,0.4,23,0.4,77,1.4,1452,26.1,703,12.6,651,11.7,586,10.5,65,1.2,6,0.1,6,0.1,0,0,46,0.8,44,0.8,2,0,749,13.4,3422,61.4,10,0.2,3306,59.3,50,0.9,13,0.2,43,0.8
Birmingham 050G,E01034929,938,100,467,49.8,394,42,307,32.7,161,17.2,146,15.6,15,1.6,8,0.9,7,0.7,72,7.7,52,5.5,20,2.1,73,7.8,39,4.2,26,2.8,25,2.7,15,1.6,10,1.1,1,0.1,1,0.1,0,0,0,0,0,0,0,0,13,1.4,432,46.1,45,4.8,106,11.3,167,17.8,38,4.1,76,8.1
Birmingham 050H,E01034930,1990,100,609,30.6,513,25.8,468,23.5,115,5.8,353,17.7,7,0.4,2,0.1,5,0.3,38,1.9,29,1.5,9,0.5,96,4.8,427,21.5,236,11.9,219,11,170,8.5,49,2.5,4,0.2,4,0.2,0,0,13,0.7,12,0.6,1,0.1,191,9.6,954,47.9,25,1.3,738,37.1,53,2.7,65,3.3,73,3.7
Birmingham 051B,E01009483,1454,100,571,39.3,452,31.1,373,25.7,161,11.1,212,14.6,19,1.3,6,0.4,13,0.9,60,4.1,43,3,17,1.2,119,8.2,47,3.2,30,2.1,27,1.9,20,1.4,7,0.5,0,0,0,0,0,0,3,0.2,3,0.2,0,0,17,1.2,836,57.5,94,6.5,191,13.1,265,18.2,99,6.8,187,12.9
Birmingham 051C,E01009488,1781,100,746,41.9,632,35.5,506,28.4,221,12.4,285,16,19,1.1,9,0.5,10,0.6,107,6,62,3.5,45,2.5,114,6.4,71,4,50,2.8,44,2.5,32,1.8,12,0.7,3,0.2,1,0.1,2,0.1,3,0.2,3,0.2,0,0,21,1.2,964,54.1,173,9.7,223,12.5,295,16.6,136,7.6,137,7.7
Birmingham 051D,E01009489,1494,100,611,40.9,519,34.7,422,28.2,211,14.1,211,14.1,18,1.2,7,0.5,11,0.7,79,5.3,55,3.7,24,1.6,92,6.2,45,3,31,2.1,30,2,25,1.7,5,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,14,0.9,838,56.1,124,8.3,205,13.7,281,18.8,83,5.6,145,9.7
Birmingham 051E,E01009491,1543,100,566,36.7,489,31.7,387,25.1,142,9.2,245,15.9,21,1.4,8,0.5,13,0.8,81,5.2,41,2.7,40,2.6,77,5,53,3.4,38,2.5,31,2,28,1.8,3,0.2,2,0.1,1,0.1,1,0.1,5,0.3,3,0.2,2,0.1,15,1,924,59.9,152,9.9,232,15,299,19.4,100,6.5,141,9.1
Birmingham 051F,E01034931,1380,100,567,41.1,508,36.8,405,29.3,167,12.1,238,17.2,25,1.8,18,1.3,7,0.5,78,5.7,47,3.4,31,2.2,59,4.3,74,5.4,44,3.2,41,3,32,2.3,9,0.7,1,0.1,1,0.1,0,0,2,0.1,2,0.1,0,0,30,2.2,739,53.6,99,7.2,195,14.1,251,18.2,72,5.2,122,8.8
Birmingham 051G,E01034932,1091,100,435,39.9,353,32.4,277,25.4,119,10.9,158,14.5,16,1.5,7,0.6,9,0.8,60,5.5,37,3.4,23,2.1,82,7.5,41,3.8,29,2.7,26,2.4,22,2,4,0.4,0,0,0,0,0,0,3,0.3,3,0.3,0,0,12,1.1,615,56.4,97,8.9,148,13.6,210,19.2,63,5.8,97,8.9
Birmingham 052B,E01009192,2054,100,907,44.2,784,38.2,620,30.2,224,10.9,396,19.3,27,1.3,11,0.5,16,0.8,137,6.7,77,3.7,60,2.9,123,6,64,3.1,54,2.6,50,2.4,35,1.7,15,0.7,0,0,0,0,0,0,4,0.2,3,0.1,1,0,10,0.5,1083,52.7,167,8.1,251,12.2,358,17.4,114,5.6,193,9.4
Birmingham 052D,E01009199,1022,100,588,57.5,519,50.8,454,44.4,128,12.5,326,31.9,14,1.4,2,0.2,12,1.2,51,5,31,3,20,2,69,6.8,56,5.5,43,4.2,38,3.7,32,3.1,6,0.6,3,0.3,3,0.3,0,0,2,0.2,2,0.2,0,0,13,1.3,378,37,52,5.1,97,9.5,126,12.3,44,4.3,59,5.8
Birmingham 052E,E01009204,1505,100,591,39.3,487,32.4,399,26.5,164,10.9,235,15.6,15,1,6,0.4,9,0.6,73,4.9,46,3.1,27,1.8,104,6.9,115,7.6,73,4.9,66,4.4,50,3.3,16,1.1,0,0,0,0,0,0,7,0.5,5,0.3,2,0.1,42,2.8,799,53.1,121,8,272,18.1,196,13,104,6.9,106,7
Birmingham 052G,E01034933,1131,100,474,41.9,406,35.9,331,29.3,139,12.3,192,17,7,0.6,2,0.2,5,0.4,68,6,33,2.9,35,3.1,68,6,31,2.7,20,1.8,20,1.8,14,1.2,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,626,55.3,84,7.4,138,12.2,208,18.4,82,7.3,114,10.1
Birmingham 052H,E01034934,1103,100,478,43.3,377,34.2,293,26.6,117,10.6,176,16,12,1.1,7,0.6,5,0.5,72,6.5,34,3.1,38,3.4,101,9.2,55,5,38,3.4,37,3.4,26,2.4,11,1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,17,1.5,570,51.7,58,5.3,129,11.7,247,22.4,70,6.3,66,6
Birmingham 053A,E01009151,1530,100,735,48,655,42.8,522,34.1,158,10.3,364,23.8,14,0.9,9,0.6,5,0.3,119,7.8,61,4,58,3.8,80,5.2,69,4.5,44,2.9,42,2.7,28,1.8,14,0.9,0,0,0,0,0,0,2,0.1,1,0.1,1,0.1,25,1.6,726,47.5,157,10.3,175,11.4,216,14.1,69,4.5,109,7.1
Birmingham 053B,E01009152,1590,100,736,46.3,624,39.2,482,30.3,136,8.6,346,21.8,26,1.6,7,0.4,19,1.2,116,7.3,54,3.4,62,3.9,112,7,74,4.7,45,2.8,43,2.7,33,2.1,10,0.6,0,0,0,0,0,0,2,0.1,2,0.1,0,0,29,1.8,780,49.1,150,9.4,212,13.3,196,12.3,99,6.2,123,7.7
Birmingham 053C,E01009153,1704,100,875,51.3,735,43.1,638,37.4,187,11,451,26.5,14,0.8,8,0.5,6,0.4,83,4.9,39,2.3,44,2.6,140,8.2,113,6.6,70,4.1,68,4,48,2.8,20,1.2,0,0,0,0,0,0,2,0.1,2,0.1,0,0,43,2.5,716,42,162,9.5,153,9,135,7.9,138,8.1,128,7.5
Birmingham 053D,E01009345,1649,100,553,33.5,471,28.6,383,23.2,128,7.8,255,15.5,19,1.2,11,0.7,8,0.5,69,4.2,44,2.7,25,1.5,82,5,50,3,33,2,32,1.9,19,1.2,13,0.8,0,0,0,0,0,0,1,0.1,1,0.1,0,0,17,1,1046,63.4,200,12.1,146,8.9,165,10,131,7.9,404,24.5
Birmingham 053E,E01009346,1206,100,598,49.6,537,44.5,449,37.2,176,14.6,273,22.6,22,1.8,11,0.9,11,0.9,66,5.5,40,3.3,26,2.2,61,5.1,41,3.4,26,2.2,25,2.1,15,1.2,10,0.8,0,0,0,0,0,0,1,0.1,1,0.1,0,0,15,1.2,567,47,98,8.1,138,11.4,173,14.3,56,4.6,102,8.5
Birmingham 054A,E01009092,1234,100,643,52.1,549,44.5,466,37.8,163,13.2,303,24.6,11,0.9,2,0.2,9,0.7,72,5.8,35,2.8,37,3,94,7.6,23,1.9,14,1.1,11,0.9,8,0.6,3,0.2,0,0,0,0,0,0,3,0.2,1,0.1,2,0.2,9,0.7,568,46,116,9.4,116,9.4,163,13.2,106,8.6,67,5.4
Birmingham 054B,E01009093,1177,100,657,55.8,602,51.1,521,44.3,148,12.6,373,31.7,13,1.1,3,0.3,10,0.8,68,5.8,29,2.5,39,3.3,55,4.7,23,2,13,1.1,12,1,8,0.7,4,0.3,0,0,0,0,0,0,1,0.1,1,0.1,0,0,10,0.8,497,42.2,138,11.7,63,5.4,131,11.1,106,9,59,5
Birmingham 054C,E01009094,1153,100,637,55.2,574,49.8,504,43.7,163,14.1,341,29.6,10,0.9,2,0.2,8,0.7,60,5.2,35,3,25,2.2,63,5.5,29,2.5,21,1.8,20,1.7,18,1.6,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,8,0.7,487,42.2,148,12.8,85,7.4,119,10.3,73,6.3,62,5.4
Birmingham 054D,E01009298,1142,100,649,56.8,572,50.1,503,44,151,13.2,352,30.8,18,1.6,3,0.3,15,1.3,51,4.5,24,2.1,27,2.4,77,6.7,28,2.5,11,1,10,0.9,8,0.7,2,0.2,1,0.1,0,0,1,0.1,0,0,0,0,0,0,17,1.5,465,40.7,90,7.9,85,7.4,101,8.8,95,8.3,94,8.2
Birmingham 054E,E01009311,1161,100,616,53.1,549,47.3,475,40.9,141,12.1,334,28.8,11,0.9,5,0.4,6,0.5,63,5.4,24,2.1,39,3.4,67,5.8,29,2.5,23,2,22,1.9,14,1.2,8,0.7,1,0.1,1,0.1,0,0,0,0,0,0,0,0,6,0.5,516,44.4,154,13.3,90,7.8,140,12.1,75,6.5,57,4.9
Birmingham 054F,E01009511,1216,100,592,48.7,511,42,393,32.3,140,11.5,253,20.8,15,1.2,9,0.7,6,0.5,103,8.5,57,4.7,46,3.8,81,6.7,37,3,27,2.2,24,2,21,1.7,3,0.2,0,0,0,0,0,0,3,0.2,0,0,3,0.2,10,0.8,587,48.3,147,12.1,146,12,133,10.9,88,7.2,73,6
Birmingham 055A,E01009475,1638,100,720,44,634,38.7,523,31.9,188,11.5,335,20.5,12,0.7,9,0.5,3,0.2,99,6,72,4.4,27,1.6,86,5.3,58,3.5,32,2,30,1.8,28,1.7,2,0.1,0,0,0,0,0,0,2,0.1,1,0.1,1,0.1,26,1.6,860,52.5,118,7.2,213,13,279,17,124,7.6,126,7.7
Birmingham 055B,E01009476,1484,100,616,41.5,539,36.3,393,26.5,160,10.8,233,15.7,25,1.7,10,0.7,15,1,121,8.2,75,5.1,46,3.1,77,5.2,68,4.6,39,2.6,29,2,28,1.9,1,0.1,0,0,0,0,0,0,10,0.7,8,0.5,2,0.1,29,2,800,53.9,134,9,177,11.9,223,15,148,10,118,8
Birmingham 055C,E01009477,1272,100,609,47.9,541,42.5,435,34.2,150,11.8,285,22.4,18,1.4,7,0.6,11,0.9,88,6.9,42,3.3,46,3.6,68,5.3,23,1.8,17,1.3,16,1.3,11,0.9,5,0.4,0,0,0,0,0,0,1,0.1,1,0.1,0,0,6,0.5,640,50.3,118,9.3,151,11.9,208,16.4,88,6.9,75,5.9
Birmingham 055D,E01009490,1555,100,702,45.1,610,39.2,461,29.6,196,12.6,265,17,23,1.5,9,0.6,14,0.9,126,8.1,66,4.2,60,3.9,92,5.9,82,5.3,46,3,40,2.6,32,2.1,8,0.5,0,0,0,0,0,0,6,0.4,3,0.2,3,0.2,36,2.3,771,49.6,138,8.9,176,11.3,240,15.4,75,4.8,142,9.1
Birmingham 055E,E01009492,1379,100,610,44.2,534,38.7,406,29.4,167,12.1,239,17.3,32,2.3,13,0.9,19,1.4,96,7,65,4.7,31,2.2,76,5.5,43,3.1,24,1.7,23,1.7,20,1.5,3,0.2,0,0,0,0,0,0,1,0.1,1,0.1,0,0,19,1.4,726,52.6,118,8.6,164,11.9,229,16.6,97,7,118,8.6
Birmingham 056A,E01009095,1374,100,776,56.5,725,52.8,598,43.5,156,11.4,442,32.2,27,2,11,0.8,16,1.2,100,7.3,31,2.3,69,5,51,3.7,50,3.6,34,2.5,28,2,22,1.6,6,0.4,0,0,0,0,0,0,6,0.4,3,0.2,3,0.2,16,1.2,548,39.9,192,14,93,6.8,140,10.2,57,4.1,66,4.8
Birmingham 056B,E01009507,1197,100,546,45.6,472,39.4,365,30.5,120,10,245,20.5,25,2.1,4,0.3,21,1.8,82,6.9,29,2.4,53,4.4,74,6.2,28,2.3,22,1.8,20,1.7,14,1.2,6,0.5,1,0.1,0,0,1,0.1,1,0.1,0,0,1,0.1,6,0.5,623,52,176,14.7,93,7.8,138,11.5,119,9.9,97,8.1
