﻿Geography Name,Geography Code,Attribute Tier 1,Attribute Tier 2,Attribute Tier 3,Value,Value as a Percentage of Geography Total,geom,centroid
Sutton Four Oaks,E05011174,Economically inactive,Student,,374,4.8,"{""coordinates"": [[[[-1.821555819, 52.575104838], [-1.81906317, 52.57338845], [-1.822632852, 52.571857472], [-1.822084557, 52.571345185], [-1.824291025, 52.57118212], [-1.824464888, 52.57160397], [-1.827070923, 52.571149359], [-1.832259225, 52.571007622], [-1.833497712, 52.570829532], [-1.836239563, 52.571892318], [-1.83688998, 52.571583063], [-1.839126866, 52.572372773], [-1.839829474, 52.571892726], [-1.839455146, 52.570557253], [-1.840492195, 52.570598196], [-1.841633337, 52.571259569], [-1.843964193, 52.571367899], [-1.844684696, 52.573313327], [-1.844470042, 52.573946826], [-1.844987459, 52.5749157], [-1.848164811, 52.576081321], [-1.872497168, 52.585015238], [-1.870952715, 52.586741453], [-1.864452227, 52.590647424], [-1.862369359, 52.592548161], [-1.855922999, 52.59972426], [-1.854757344, 52.601295151], [-1.852803053, 52.602476717], [-1.852807189, 52.601677491], [-1.854162949, 52.600657948], [-1.854225782, 52.599990994], [-1.85326797, 52.599412655], [-1.851239274, 52.601191035], [-1.850332888, 52.600279221], [-1.846348499, 52.596739278], [-1.84492213, 52.594704874], [-1.843657565, 52.592489033], [-1.842812952, 52.592129237], [-1.841613707, 52.592711991], [-1.838970202, 52.590193088], [-1.838316388, 52.589169542], [-1.837053169, 52.589680715], [-1.837851397, 52.590579902], [-1.836693875, 52.591031361], [-1.833936835, 52.588997678], [-1.831740977, 52.586925094], [-1.830072032, 52.584529684], [-1.828760814, 52.580873408], [-1.827509616, 52.578939697], [-1.825751691, 52.577519389], [-1.821555819, 52.575104838]]]], ""type"": ""MultiPolygon""}","52.584200535, -1.846137431"
Sutton Mere Green,E05011175,Economically active (excluding full-time students),In employment,Employee,3619,44.41,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Mere Green,E05011175,Economically active and a full-time student,In employment,Employee,76,0.93,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Mere Green,E05011175,Economically active and a full-time student,In employment,Self-employed with employees,0,0,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Mere Green,E05011175,Economically active and a full-time student,Unemployed,,49,0.6,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Mere Green,E05011175,Economically inactive,Long-term sick or disabled,,199,2.44,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Mere Green,E05011175,Economically inactive,Student,,403,4.95,"{""coordinates"": [[[[-1.808476903, 52.603074181], [-1.808868044, 52.602432945], [-1.810167327, 52.602781129], [-1.811727974, 52.598304029], [-1.813949599, 52.599088704], [-1.814775709, 52.59818112], [-1.81712448, 52.598933668], [-1.818118542, 52.598811982], [-1.818153544, 52.598207016], [-1.81688213, 52.597205413], [-1.818282506, 52.595572341], [-1.818630756, 52.594183001], [-1.819849741, 52.5928472], [-1.820598072, 52.592867207], [-1.820987873, 52.591023977], [-1.820306331, 52.590571698], [-1.820802544, 52.589432509], [-1.820220941, 52.588713369], [-1.821683709, 52.588343416], [-1.821270388, 52.587241498], [-1.819787196, 52.586485046], [-1.818461778, 52.586139622], [-1.81804593, 52.585319978], [-1.819743993, 52.583692736], [-1.819477051, 52.582941715], [-1.819346738, 52.579084822], [-1.819903628, 52.578583192], [-1.818527853, 52.577967086], [-1.819304246, 52.577224756], [-1.820293212, 52.575338397], [-1.821555819, 52.575104838], [-1.825751691, 52.577519389], [-1.827509616, 52.578939697], [-1.828760814, 52.580873408], [-1.830072032, 52.584529684], [-1.831740977, 52.586925094], [-1.833936835, 52.588997678], [-1.836693875, 52.591031361], [-1.837851397, 52.590579902], [-1.837053169, 52.589680715], [-1.838316388, 52.589169542], [-1.838970202, 52.590193088], [-1.841613707, 52.592711991], [-1.842812952, 52.592129237], [-1.843657565, 52.592489033], [-1.84492213, 52.594704874], [-1.846348499, 52.596739278], [-1.850332888, 52.600279221], [-1.851239274, 52.601191035], [-1.85326797, 52.599412655], [-1.854225782, 52.599990994], [-1.854162949, 52.600657948], [-1.852807189, 52.601677491], [-1.852803053, 52.602476717], [-1.849209961, 52.60437983], [-1.848268348, 52.60470855], [-1.845732198, 52.604935442], [-1.841566028, 52.605952067], [-1.8374771, 52.607198813], [-1.833963566, 52.607713499], [-1.832377305, 52.607790446], [-1.828438526, 52.608671223], [-1.827619256, 52.608570188], [-1.818350351, 52.605964628], [-1.811824499, 52.60439293], [-1.808476903, 52.603074181]]]], ""type"": ""MultiPolygon""}","52.596174181, -1.829879831"
Sutton Reddicap,E05011176,Economically active (excluding full-time students),In employment,Employee,3796,48.04,"{""coordinates"": [[[[-1.770159132, 52.563561451], [-1.770693936, 52.5608548], [-1.771364863, 52.558924998], [-1.772492584, 52.556487389], [-1.773935473, 52.553818319], [-1.775472452, 52.554078367], [-1.776663237, 52.554553438], [-1.779113091, 52.556016215], [-1.781437897, 52.557149687], [-1.782888346, 52.558243678], [-1.786402762, 52.559588628], [-1.787341471, 52.559479772], [-1.790489791, 52.560593868], [-1.792133423, 52.560514887], [-1.795372173, 52.557784075], [-1.796674063, 52.557917529], [-1.796792743, 52.556498281], [-1.797780593, 52.556579059], [-1.797906916, 52.555711731], [-1.800187078, 52.55606619], [-1.799292968, 52.55452381], [-1.801418319, 52.553843277], [-1.802238416, 52.555469998], [-1.805863495, 52.554554524], [-1.807653111, 52.553735822], [-1.80878031, 52.553669253], [-1.810821339, 52.555080385], [-1.812332288, 52.556658706], [-1.815129105, 52.556956175], [-1.815151945, 52.558526738], [-1.815606002, 52.560372172], [-1.816677879, 52.562267992], [-1.815607231, 52.563593213], [-1.815808094, 52.564948265], [-1.814495417, 52.565580001], [-1.810086591, 52.566077388], [-1.807478793, 52.565962639], [-1.807083828, 52.566879867], [-1.804317241, 52.566958016], [-1.803422364, 52.566813548], [-1.802628011, 52.567283341], [-1.799878199, 52.567249973], [-1.798678601, 52.566949475], [-1.797262271, 52.56727968], [-1.795809699, 52.56681686], [-1.789320414, 52.568237628], [-1.791215034, 52.569109418], [-1.788972078, 52.571017578], [-1.787456738, 52.570420634], [-1.786657692, 52.571508724], [-1.78533516, 52.571315807], [-1.783271428, 52.570625246], [-1.781932371, 52.56989635], [-1.778890071, 52.569018771], [-1.778039129, 52.570108504], [-1.775443455, 52.572784427], [-1.773911499, 52.573148286], [-1.774717191, 52.574584545], [-1.773380347, 52.574871477], [-1.771972127, 52.574677349], [-1.771289727, 52.575097627], [-1.769786734, 52.574973389], [-1.769018495, 52.574288594], [-1.768140633, 52.574279691], [-1.767730806, 52.573370905], [-1.768206522, 52.572972713], [-1.767054488, 52.571236362], [-1.765548462, 52.570886395], [-1.763553196, 52.570963317], [-1.763968019, 52.569831389], [-1.765118328, 52.569080361], [-1.766799378, 52.568711516], [-1.767782114, 52.568120106], [-1.770347585, 52.567866181], [-1.771797185, 52.567144427], [-1.773914769, 52.565620198], [-1.774237169, 52.56461217], [-1.770159132, 52.563561451]]]], ""type"": ""MultiPolygon""}","52.56323117, -1.790280789"
Sutton Reddicap,E05011176,Economically active and a full-time student,In employment,Self-employed with employees,2,0.03,"{""coordinates"": [[[[-1.770159132, 52.563561451], [-1.770693936, 52.5608548], [-1.771364863, 52.558924998], [-1.772492584, 52.556487389], [-1.773935473, 52.553818319], [-1.775472452, 52.554078367], [-1.776663237, 52.554553438], [-1.779113091, 52.556016215], [-1.781437897, 52.557149687], [-1.782888346, 52.558243678], [-1.786402762, 52.559588628], [-1.787341471, 52.559479772], [-1.790489791, 52.560593868], [-1.792133423, 52.560514887], [-1.795372173, 52.557784075], [-1.796674063, 52.557917529], [-1.796792743, 52.556498281], [-1.797780593, 52.556579059], [-1.797906916, 52.555711731], [-1.800187078, 52.55606619], [-1.799292968, 52.55452381], [-1.801418319, 52.553843277], [-1.802238416, 52.555469998], [-1.805863495, 52.554554524], [-1.807653111, 52.553735822], [-1.80878031, 52.553669253], [-1.810821339, 52.555080385], [-1.812332288, 52.556658706], [-1.815129105, 52.556956175], [-1.815151945, 52.558526738], [-1.815606002, 52.560372172], [-1.816677879, 52.562267992], [-1.815607231, 52.563593213], [-1.815808094, 52.564948265], [-1.814495417, 52.565580001], [-1.810086591, 52.566077388], [-1.807478793, 52.565962639], [-1.807083828, 52.566879867], [-1.804317241, 52.566958016], [-1.803422364, 52.566813548], [-1.802628011, 52.567283341], [-1.799878199, 52.567249973], [-1.798678601, 52.566949475], [-1.797262271, 52.56727968], [-1.795809699, 52.56681686], [-1.789320414, 52.568237628], [-1.791215034, 52.569109418], [-1.788972078, 52.571017578], [-1.787456738, 52.570420634], [-1.786657692, 52.571508724], [-1.78533516, 52.571315807], [-1.783271428, 52.570625246], [-1.781932371, 52.56989635], [-1.778890071, 52.569018771], [-1.778039129, 52.570108504], [-1.775443455, 52.572784427], [-1.773911499, 52.573148286], [-1.774717191, 52.574584545], [-1.773380347, 52.574871477], [-1.771972127, 52.574677349], [-1.771289727, 52.575097627], [-1.769786734, 52.574973389], [-1.769018495, 52.574288594], [-1.768140633, 52.574279691], [-1.767730806, 52.573370905], [-1.768206522, 52.572972713], [-1.767054488, 52.571236362], [-1.765548462, 52.570886395], [-1.763553196, 52.570963317], [-1.763968019, 52.569831389], [-1.765118328, 52.569080361], [-1.766799378, 52.568711516], [-1.767782114, 52.568120106], [-1.770347585, 52.567866181], [-1.771797185, 52.567144427], [-1.773914769, 52.565620198], [-1.774237169, 52.56461217], [-1.770159132, 52.563561451]]]], ""type"": ""MultiPolygon""}","52.56323117, -1.790280789"
Sutton Reddicap,E05011176,Economically inactive,Looking after home or family,,375,4.75,"{""coordinates"": [[[[-1.770159132, 52.563561451], [-1.770693936, 52.5608548], [-1.771364863, 52.558924998], [-1.772492584, 52.556487389], [-1.773935473, 52.553818319], [-1.775472452, 52.554078367], [-1.776663237, 52.554553438], [-1.779113091, 52.556016215], [-1.781437897, 52.557149687], [-1.782888346, 52.558243678], [-1.786402762, 52.559588628], [-1.787341471, 52.559479772], [-1.790489791, 52.560593868], [-1.792133423, 52.560514887], [-1.795372173, 52.557784075], [-1.796674063, 52.557917529], [-1.796792743, 52.556498281], [-1.797780593, 52.556579059], [-1.797906916, 52.555711731], [-1.800187078, 52.55606619], [-1.799292968, 52.55452381], [-1.801418319, 52.553843277], [-1.802238416, 52.555469998], [-1.805863495, 52.554554524], [-1.807653111, 52.553735822], [-1.80878031, 52.553669253], [-1.810821339, 52.555080385], [-1.812332288, 52.556658706], [-1.815129105, 52.556956175], [-1.815151945, 52.558526738], [-1.815606002, 52.560372172], [-1.816677879, 52.562267992], [-1.815607231, 52.563593213], [-1.815808094, 52.564948265], [-1.814495417, 52.565580001], [-1.810086591, 52.566077388], [-1.807478793, 52.565962639], [-1.807083828, 52.566879867], [-1.804317241, 52.566958016], [-1.803422364, 52.566813548], [-1.802628011, 52.567283341], [-1.799878199, 52.567249973], [-1.798678601, 52.566949475], [-1.797262271, 52.56727968], [-1.795809699, 52.56681686], [-1.789320414, 52.568237628], [-1.791215034, 52.569109418], [-1.788972078, 52.571017578], [-1.787456738, 52.570420634], [-1.786657692, 52.571508724], [-1.78533516, 52.571315807], [-1.783271428, 52.570625246], [-1.781932371, 52.56989635], [-1.778890071, 52.569018771], [-1.778039129, 52.570108504], [-1.775443455, 52.572784427], [-1.773911499, 52.573148286], [-1.774717191, 52.574584545], [-1.773380347, 52.574871477], [-1.771972127, 52.574677349], [-1.771289727, 52.575097627], [-1.769786734, 52.574973389], [-1.769018495, 52.574288594], [-1.768140633, 52.574279691], [-1.767730806, 52.573370905], [-1.768206522, 52.572972713], [-1.767054488, 52.571236362], [-1.765548462, 52.570886395], [-1.763553196, 52.570963317], [-1.763968019, 52.569831389], [-1.765118328, 52.569080361], [-1.766799378, 52.568711516], [-1.767782114, 52.568120106], [-1.770347585, 52.567866181], [-1.771797185, 52.567144427], [-1.773914769, 52.565620198], [-1.774237169, 52.56461217], [-1.770159132, 52.563561451]]]], ""type"": ""MultiPolygon""}","52.56323117, -1.790280789"
Sutton Reddicap,E05011176,Economically inactive,Retired,,1731,21.91,"{""coordinates"": [[[[-1.770159132, 52.563561451], [-1.770693936, 52.5608548], [-1.771364863, 52.558924998], [-1.772492584, 52.556487389], [-1.773935473, 52.553818319], [-1.775472452, 52.554078367], [-1.776663237, 52.554553438], [-1.779113091, 52.556016215], [-1.781437897, 52.557149687], [-1.782888346, 52.558243678], [-1.786402762, 52.559588628], [-1.787341471, 52.559479772], [-1.790489791, 52.560593868], [-1.792133423, 52.560514887], [-1.795372173, 52.557784075], [-1.796674063, 52.557917529], [-1.796792743, 52.556498281], [-1.797780593, 52.556579059], [-1.797906916, 52.555711731], [-1.800187078, 52.55606619], [-1.799292968, 52.55452381], [-1.801418319, 52.553843277], [-1.802238416, 52.555469998], [-1.805863495, 52.554554524], [-1.807653111, 52.553735822], [-1.80878031, 52.553669253], [-1.810821339, 52.555080385], [-1.812332288, 52.556658706], [-1.815129105, 52.556956175], [-1.815151945, 52.558526738], [-1.815606002, 52.560372172], [-1.816677879, 52.562267992], [-1.815607231, 52.563593213], [-1.815808094, 52.564948265], [-1.814495417, 52.565580001], [-1.810086591, 52.566077388], [-1.807478793, 52.565962639], [-1.807083828, 52.566879867], [-1.804317241, 52.566958016], [-1.803422364, 52.566813548], [-1.802628011, 52.567283341], [-1.799878199, 52.567249973], [-1.798678601, 52.566949475], [-1.797262271, 52.56727968], [-1.795809699, 52.56681686], [-1.789320414, 52.568237628], [-1.791215034, 52.569109418], [-1.788972078, 52.571017578], [-1.787456738, 52.570420634], [-1.786657692, 52.571508724], [-1.78533516, 52.571315807], [-1.783271428, 52.570625246], [-1.781932371, 52.56989635], [-1.778890071, 52.569018771], [-1.778039129, 52.570108504], [-1.775443455, 52.572784427], [-1.773911499, 52.573148286], [-1.774717191, 52.574584545], [-1.773380347, 52.574871477], [-1.771972127, 52.574677349], [-1.771289727, 52.575097627], [-1.769786734, 52.574973389], [-1.769018495, 52.574288594], [-1.768140633, 52.574279691], [-1.767730806, 52.573370905], [-1.768206522, 52.572972713], [-1.767054488, 52.571236362], [-1.765548462, 52.570886395], [-1.763553196, 52.570963317], [-1.763968019, 52.569831389], [-1.765118328, 52.569080361], [-1.766799378, 52.568711516], [-1.767782114, 52.568120106], [-1.770347585, 52.567866181], [-1.771797185, 52.567144427], [-1.773914769, 52.565620198], [-1.774237169, 52.56461217], [-1.770159132, 52.563561451]]]], ""type"": ""MultiPolygon""}","52.56323117, -1.790280789"
Sutton Roughley,E05011177,Economically active (excluding full-time students),Unemployed,,220,2.33,"{""coordinates"": [[[[-1.788088505, 52.587846693], [-1.788450651, 52.585271777], [-1.786756916, 52.583017709], [-1.784843032, 52.581726019], [-1.781419016, 52.580281348], [-1.78055557, 52.579113838], [-1.779502568, 52.578682113], [-1.778870517, 52.576712189], [-1.778839702, 52.575798757], [-1.776656284, 52.574553164], [-1.774717191, 52.574584545], [-1.773911499, 52.573148286], [-1.775443455, 52.572784427], [-1.778039129, 52.570108504], [-1.778890071, 52.569018771], [-1.781932371, 52.56989635], [-1.783271428, 52.570625246], [-1.78533516, 52.571315807], [-1.786657692, 52.571508724], [-1.787456738, 52.570420634], [-1.788972078, 52.571017578], [-1.791215034, 52.569109418], [-1.789320414, 52.568237628], [-1.795809699, 52.56681686], [-1.797262271, 52.56727968], [-1.798678601, 52.566949475], [-1.799878199, 52.567249973], [-1.802628011, 52.567283341], [-1.803422364, 52.566813548], [-1.804317241, 52.566958016], [-1.807083828, 52.566879867], [-1.807498051, 52.566955134], [-1.807936004, 52.568367205], [-1.808511818, 52.569274321], [-1.807404421, 52.570812495], [-1.806762725, 52.573468893], [-1.807805948, 52.576172876], [-1.809721287, 52.57618675], [-1.810276928, 52.576697396], [-1.815345444, 52.576073414], [-1.817346023, 52.576508888], [-1.818888988, 52.574858948], [-1.820293212, 52.575338397], [-1.819304246, 52.577224756], [-1.818527853, 52.577967086], [-1.819903628, 52.578583192], [-1.819346738, 52.579084822], [-1.819477051, 52.582941715], [-1.819743993, 52.583692736], [-1.81804593, 52.585319978], [-1.818461778, 52.586139622], [-1.819787196, 52.586485046], [-1.821270388, 52.587241498], [-1.821683709, 52.588343416], [-1.820220941, 52.588713369], [-1.820802544, 52.589432509], [-1.820306331, 52.590571698], [-1.820987873, 52.591023977], [-1.820598072, 52.592867207], [-1.819849741, 52.5928472], [-1.818630756, 52.594183001], [-1.818282506, 52.595572341], [-1.81688213, 52.597205413], [-1.818153544, 52.598207016], [-1.818118542, 52.598811982], [-1.81712448, 52.598933668], [-1.814775709, 52.59818112], [-1.813949599, 52.599088704], [-1.811727974, 52.598304029], [-1.810167327, 52.602781129], [-1.808868044, 52.602432945], [-1.808476903, 52.603074181], [-1.803876472, 52.601316314], [-1.802199773, 52.601185912], [-1.798086685, 52.599487946], [-1.796535277, 52.599106844], [-1.795702141, 52.597616679], [-1.79427877, 52.596086929], [-1.795321245, 52.595082703], [-1.792764667, 52.593763073], [-1.789729914, 52.59152737], [-1.789014812, 52.589509725], [-1.788088505, 52.587846693]]]], ""type"": ""MultiPolygon""}","52.583441964, -1.801079574"
