"wz11cd","lsoa11cd","msoa11cd","date","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E33019943","E01033623","E02006899",2011,615,337,4,10,1,21,23,2,179,38
"E33019944","E01033623","E02006899",2011,600,307,1,13,4,44,25,1,168,37
"E33019945","E01033631","E02001905",2011,233,122,1,1,5,4,2,2,80,16
"E33019946","E01033631","E02001905",2011,576,303,5,13,3,25,13,5,173,36
"E33019947","E01009143","E02006897",2011,601,367,0,7,2,24,20,6,141,34
"E33019948","E01009143","E02006897",2011,447,171,1,18,1,112,31,2,78,33
"E33019949","E01009143","E02006897",2011,1166,516,4,22,4,151,81,8,315,65
"E33019950","E01033565","E02006898",2011,1072,459,5,43,0,119,136,14,234,62
"E33019951","E01033620","E02006899",2011,559,289,2,10,1,19,27,5,174,32
"E33019952","E01033620","E02006899",2011,350,186,3,4,2,15,10,2,104,24
"E33019953","E01033620","E02006899",2011,359,193,1,7,2,42,9,2,79,24
"E33019954","E01009342","E02001889",2011,1441,826,4,39,2,136,30,4,278,122
"E33019955","E01033622","E02006899",2011,443,254,0,9,3,16,12,5,124,20
"E33019956","E01033623","E02006899",2011,212,127,0,7,0,13,4,0,52,9
"E33019957","E01009239","E02001859",2011,1563,840,5,35,3,74,52,10,452,92
"E33019958","E01009239","E02001859",2011,698,382,2,7,1,61,27,8,167,43
"E33019959","E01009239","E02001859",2011,535,341,2,2,0,24,34,7,95,30
"E33019960","E01008914","E02001876",2011,248,152,2,4,0,13,9,2,54,12
"E33019961","E01008914","E02001876",2011,215,114,1,16,0,15,20,0,36,13
"E33019962","E01008914","E02001876",2011,246,140,0,6,0,20,10,4,46,20
"E33019963","E01008914","E02001876",2011,227,136,1,1,0,2,5,1,73,8
"E33019964","E01008914","E02001876",2011,224,166,0,2,0,10,1,0,35,10
"E33019965","E01008914","E02001876",2011,444,262,2,9,0,19,21,4,94,33
"E33019966","E01009418","E02001827",2011,284,169,0,0,0,2,16,1,78,18
"E33019966","E01009433","E02001827",2011,284,169,0,0,0,2,16,1,78,18
"E33019967","E01009418","E02001827",2011,635,409,2,10,0,11,22,5,137,39
"E33019967","E01009433","E02001827",2011,635,409,2,10,0,11,22,5,137,39
"E33019967","E01009419","E02001827",2011,635,409,2,10,0,11,22,5,137,39
"E33019967","E01009417","E02001827",2011,635,409,2,10,0,11,22,5,137,39
"E33019968","E01009415","E02001828",2011,258,160,0,4,1,3,4,4,60,22
"E33019968","E01009423","E02001828",2011,258,160,0,4,1,3,4,4,60,22
"E33019969","E01009423","E02001828",2011,437,286,0,6,0,4,2,1,103,35
"E33019969","E01009425","E02001828",2011,437,286,0,6,0,4,2,1,103,35
"E33019970","E01009425","E02001828",2011,420,265,0,5,1,2,3,1,122,21
"E33019970","E01009415","E02001828",2011,420,265,0,5,1,2,3,1,122,21
"E33019970","E01009422","E02001828",2011,420,265,0,5,1,2,3,1,122,21
"E33019971","E01009425","E02001828",2011,475,320,3,11,0,2,9,2,96,32
"E33019972","E01009422","E02001828",2011,496,331,1,1,0,8,8,2,119,26
"E33019972","E01009425","E02001828",2011,496,331,1,1,0,8,8,2,119,26
"E33019973","E01009420","E02001829",2011,364,230,1,1,0,9,1,3,90,29
"E33019973","E01009426","E02001829",2011,364,230,1,1,0,9,1,3,90,29
"E33019973","E01009416","E02001829",2011,364,230,1,1,0,9,1,3,90,29
"E33019974","E01009416","E02001829",2011,324,198,0,3,0,2,11,1,84,25
"E33019975","E01009431","E02001829",2011,367,242,0,5,1,7,8,1,86,17
"E33019975","E01009429","E02001829",2011,367,242,0,5,1,7,8,1,86,17
"E33019975","E01009426","E02001829",2011,367,242,0,5,1,7,8,1,86,17
"E33019976","E01009431","E02001829",2011,412,285,2,2,0,7,3,3,83,27
"E33019976","E01009426","E02001829",2011,412,285,2,2,0,7,3,3,83,27
"E33019976","E01009429","E02001829",2011,412,285,2,2,0,7,3,3,83,27
"E33019977","E01009424","E02001830",2011,421,273,0,5,0,7,8,2,103,23
"E33019977","E01009421","E02001830",2011,421,273,0,5,0,7,8,2,103,23
"E33019978","E01009424","E02001830",2011,338,222,3,4,0,8,4,2,81,14
"E33019979","E01009424","E02001830",2011,230,134,0,2,0,13,2,2,62,15
"E33019979","E01009430","E02001830",2011,230,134,0,2,0,13,2,2,62,15
"E33019980","E01009427","E02001830",2011,333,193,0,9,0,3,15,1,84,28
"E33019980","E01009430","E02001830",2011,333,193,0,9,0,3,15,1,84,28
"E33019981","E01009430","E02001830",2011,281,193,0,3,0,7,8,1,57,12
"E33019981","E01009427","E02001830",2011,281,193,0,3,0,7,8,1,57,12
"E33019982","E01009468","E02001830",2011,278,173,4,3,1,19,4,2,52,20
"E33019983","E01009424","E02001830",2011,349,222,2,3,3,3,7,5,75,29
"E33019984","E01009424","E02001830",2011,914,583,7,6,2,18,28,4,218,48
"E33019984","E01009428","E02001830",2011,914,583,7,6,2,18,28,4,218,48
"E33019985","E01009448","E02001831",2011,321,188,0,3,0,6,1,3,103,17
"E33019985","E01009445","E02001831",2011,321,188,0,3,0,6,1,3,103,17
"E33019986","E01009447","E02001831",2011,262,170,1,5,0,5,1,2,64,14
"E33019986","E01009446","E02001831",2011,262,170,1,5,0,5,1,2,64,14
"E33019987","E01009447","E02001831",2011,704,459,3,8,0,6,21,0,168,39
"E33019987","E01009445","E02001831",2011,704,459,3,8,0,6,21,0,168,39
"E33019987","E01009446","E02001831",2011,704,459,3,8,0,6,21,0,168,39
"E33019988","E01009452","E02001831",2011,364,229,0,4,0,3,9,3,93,23
"E33019988","E01009455","E02001831",2011,364,229,0,4,0,3,9,3,93,23
"E33019989","E01009447","E02001831",2011,534,345,3,3,0,14,3,0,124,42
"E33019989","E01009452","E02001831",2011,534,345,3,3,0,14,3,0,124,42
"E33019989","E01009448","E02001831",2011,534,345,3,3,0,14,3,0,124,42
"E33019990","E01009437","E02001832",2011,213,153,0,2,0,8,3,2,38,7
"E33019991","E01009444","E02001832",2011,370,233,1,1,0,5,6,0,101,23
"E33019992","E01009454","E02001832",2011,282,178,0,7,0,1,3,0,80,13
"E33019992","E01009435","E02001832",2011,282,178,0,7,0,1,3,0,80,13
"E33019993","E01009432","E02001832",2011,3177,2057,12,118,3,140,49,16,612,170
"E33019994","E01009437","E02001832",2011,381,266,0,1,1,7,5,4,81,16
"E33019995","E01009435","E02001832",2011,327,212,2,7,0,4,3,1,72,26
"E33019995","E01009437","E02001832",2011,327,212,2,7,0,4,3,1,72,26
"E33019996","E01009467","E02001833",2011,329,230,2,2,1,3,7,4,65,15
"E33019996","E01009465","E02001833",2011,329,230,2,2,1,3,7,4,65,15
"E33019997","E01009221","E02001833",2011,345,212,2,15,0,10,8,4,79,15
"E33019998","E01009464","E02001833",2011,292,198,2,3,2,9,7,4,58,9
"E33019998","E01009465","E02001833",2011,292,198,2,3,2,9,7,4,58,9
"E33019999","E01009221","E02001833",2011,352,230,3,1,0,10,7,2,81,18
"E33019999","E01009465","E02001833",2011,352,230,3,1,0,10,7,2,81,18
"E33020000","E01009220","E02001834",2011,576,353,0,4,0,14,11,2,161,31
"E33020000","E01009233","E02001834",2011,576,353,0,4,0,14,11,2,161,31
"E33020000","E01009224","E02001834",2011,576,353,0,4,0,14,11,2,161,31
"E33020000","E01009222","E02001834",2011,576,353,0,4,0,14,11,2,161,31
"E33020001","E01009471","E02001835",2011,288,189,1,4,0,14,3,1,57,19
"E33020002","E01009453","E02001835",2011,566,343,10,4,0,13,9,1,141,45
"E33020002","E01009449","E02001835",2011,566,343,10,4,0,13,9,1,141,45
"E33020002","E01009451","E02001835",2011,566,343,10,4,0,13,9,1,141,45
"E33020003","E01009471","E02001835",2011,272,178,1,4,0,5,6,2,51,25
"E33020003","E01009466","E02001835",2011,272,178,1,4,0,5,6,2,51,25
"E33020004","E01009466","E02001835",2011,357,240,3,1,3,6,2,2,82,18
"E33020005","E01009449","E02001835",2011,506,290,0,8,0,18,12,3,136,39
"E33020006","E01009451","E02001835",2011,450,280,1,2,0,7,2,1,130,27
"E33020007","E01009472","E02001836",2011,370,257,4,3,0,5,9,3,76,13
"E33020007","E01009474","E02001836",2011,370,257,4,3,0,5,9,3,76,13
"E33020007","E01009470","E02001836",2011,370,257,4,3,0,5,9,3,76,13
"E33020008","E01009472","E02001836",2011,309,202,1,10,1,10,8,0,59,18
"E33020008","E01009135","E02001836",2011,309,202,1,10,1,10,8,0,59,18
"E33020008","E01009473","E02001836",2011,309,202,1,10,1,10,8,0,59,18
"E33020009","E01009469","E02001836",2011,263,178,1,8,0,11,5,1,49,10
"E33020009","E01009470","E02001836",2011,263,178,1,8,0,11,5,1,49,10
"E33020010","E01009474","E02001836",2011,306,204,0,3,0,11,3,1,71,13
"E33020010","E01009472","E02001836",2011,306,204,0,3,0,11,3,1,71,13
"E33020011","E01009473","E02001836",2011,1444,863,5,41,0,54,77,11,319,74
"E33020011","E01009469","E02001836",2011,1444,863,5,41,0,54,77,11,319,74
"E33020012","E01009133","E02001837",2011,654,408,3,4,1,26,8,1,171,32
"E33020012","E01009134","E02001837",2011,654,408,3,4,1,26,8,1,171,32
"E33020012","E01009131","E02001837",2011,654,408,3,4,1,26,8,1,171,32
"E33020012","E01009130","E02001837",2011,654,408,3,4,1,26,8,1,171,32
"E33020013","E01009128","E02001837",2011,357,205,3,11,1,26,9,0,85,17
"E33020013","E01009131","E02001837",2011,357,205,3,11,1,26,9,0,85,17
"E33020013","E01009127","E02001837",2011,357,205,3,11,1,26,9,0,85,17
"E33020014","E01009137","E02001837",2011,337,204,2,0,0,19,4,2,86,20
"E33020014","E01009134","E02001837",2011,337,204,2,0,0,19,4,2,86,20
"E33020015","E01009440","E02001838",2011,383,278,0,2,1,3,6,3,67,23
"E33020015","E01009436","E02001838",2011,383,278,0,2,1,3,6,3,67,23
"E33020016","E01009438","E02001838",2011,280,187,1,5,0,1,6,0,51,29
"E33020016","E01009436","E02001838",2011,280,187,1,5,0,1,6,0,51,29
"E33020017","E01009440","E02001838",2011,281,195,0,2,0,9,4,1,51,19
"E33020018","E01009450","E02001838",2011,367,275,0,1,1,3,0,1,69,17
"E33020018","E01009434","E02001838",2011,367,275,0,1,1,3,0,1,69,17
"E33020019","E01009225","E02001839",2011,365,246,0,5,0,7,6,0,84,17
"E33020019","E01009223","E02001839",2011,365,246,0,5,0,7,6,0,84,17
"E33020019","E01009228","E02001839",2011,365,246,0,5,0,7,6,0,84,17
"E33020020","E01009227","E02001839",2011,328,194,1,8,0,8,10,3,94,10
"E33020020","E01009228","E02001839",2011,328,194,1,8,0,8,10,3,94,10
"E33020021","E01009223","E02001839",2011,254,169,0,0,0,2,2,2,67,12
"E33020022","E01009228","E02001839",2011,310,214,0,3,0,4,3,4,60,22
"E33020022","E01009225","E02001839",2011,310,214,0,3,0,4,3,4,60,22
"E33020023","E01009129","E02001840",2011,305,180,0,5,0,15,9,2,82,12
"E33020023","E01009132","E02001840",2011,305,180,0,5,0,15,9,2,82,12
"E33020024","E01009121","E02001840",2011,245,159,1,6,0,11,9,3,43,13
"E33020025","E01009122","E02001840",2011,353,211,2,6,1,18,11,2,75,27
"E33020026","E01009136","E02001840",2011,376,234,2,6,0,12,26,1,75,20
"E33020026","E01009132","E02001840",2011,376,234,2,6,0,12,26,1,75,20
"E33020027","E01009121","E02001840",2011,274,164,1,5,1,16,8,2,63,14
"E33020028","E01009463","E02001841",2011,245,172,0,3,0,2,1,0,56,11
"E33020028","E01009457","E02001841",2011,245,172,0,3,0,2,1,0,56,11
"E33020029","E01009463","E02001841",2011,274,178,2,5,0,13,5,0,53,18
"E33020029","E01009459","E02001841",2011,274,178,2,5,0,13,5,0,53,18
"E33020030","E01009461","E02001841",2011,318,195,3,1,0,10,16,1,62,30
"E33020030","E01009463","E02001841",2011,318,195,3,1,0,10,16,1,62,30
"E33020031","E01009459","E02001841",2011,323,199,0,1,0,14,11,0,83,15
"E33020031","E01009457","E02001841",2011,323,199,0,1,0,14,11,0,83,15
"E33020032","E01009245","E02001842",2011,299,176,0,18,0,21,17,9,48,10
"E33020032","E01009246","E02001842",2011,299,176,0,18,0,21,17,9,48,10
"E33020032","E01009235","E02001842",2011,299,176,0,18,0,21,17,9,48,10
"E33020033","E01009247","E02001842",2011,295,173,0,14,0,14,20,3,56,15
"E33020033","E01009246","E02001842",2011,295,173,0,14,0,14,20,3,56,15
"E33020033","E01009243","E02001842",2011,295,173,0,14,0,14,20,3,56,15
"E33020034","E01009245","E02001842",2011,348,201,5,12,0,19,35,4,60,12
"E33020034","E01009243","E02001842",2011,348,201,5,12,0,19,35,4,60,12
"E33020035","E01009230","E02001843",2011,250,141,0,5,0,23,8,1,53,19
"E33020035","E01009229","E02001843",2011,250,141,0,5,0,23,8,1,53,19
"E33020036","E01009229","E02001843",2011,365,190,3,3,0,55,21,1,67,25
"E33020036","E01009231","E02001843",2011,365,190,3,3,0,55,21,1,67,25
"E33020036","E01009230","E02001843",2011,365,190,3,3,0,55,21,1,67,25
"E33020037","E01009231","E02001843",2011,322,194,0,8,0,11,7,2,81,19
"E33020038","E01009230","E02001843",2011,648,343,2,22,0,71,28,2,139,41
"E33020038","E01009226","E02001843",2011,648,343,2,22,0,71,28,2,139,41
"E33020038","E01009229","E02001843",2011,648,343,2,22,0,71,28,2,139,41
"E33020039","E01009226","E02001843",2011,317,223,1,3,0,3,3,0,71,13
"E33020040","E01009462","E02001844",2011,487,290,1,10,1,31,15,1,114,24
"E33020041","E01009003","E02001844",2011,465,257,4,2,0,54,5,4,110,29
"E33020042","E01009003","E02001844",2011,493,322,3,3,0,17,5,1,109,33
"E33020043","E01009458","E02001844",2011,284,170,0,2,0,9,6,3,80,14
"E33020043","E01009460","E02001844",2011,284,170,0,2,0,9,6,3,80,14
"E33020044","E01009456","E02001844",2011,344,219,1,0,1,6,2,6,76,33
"E33020044","E01009458","E02001844",2011,344,219,1,0,1,6,2,6,76,33
"E33020044","E01009460","E02001844",2011,344,219,1,0,1,6,2,6,76,33
"E33020045","E01009001","E02001844",2011,475,285,1,2,1,19,13,1,118,35
"E33020045","E01009460","E02001844",2011,475,285,1,2,1,19,13,1,118,35
"E33020046","E01009462","E02001844",2011,306,191,1,6,0,14,5,1,76,12
"E33020047","E01009236","E02001845",2011,304,171,1,7,0,27,8,4,68,18
"E33020047","E01009234","E02001845",2011,304,171,1,7,0,27,8,4,68,18
"E33020047","E01009244","E02001845",2011,304,171,1,7,0,27,8,4,68,18
"E33020048","E01009244","E02001845",2011,695,449,2,15,0,26,23,0,146,34
"E33020048","E01009248","E02001845",2011,695,449,2,15,0,26,23,0,146,34
"E33020049","E01009234","E02001845",2011,347,191,1,5,1,43,11,2,77,16
"E33020049","E01009248","E02001845",2011,347,191,1,5,1,43,11,2,77,16
"E33020049","E01009244","E02001845",2011,347,191,1,5,1,43,11,2,77,16
"E33020050","E01009405","E02001846",2011,297,164,1,4,1,21,10,3,70,23
"E33020050","E01009406","E02001846",2011,297,164,1,4,1,21,10,3,70,23
"E33020051","E01009407","E02001846",2011,358,226,1,2,0,22,5,2,70,30
"E33020051","E01009405","E02001846",2011,358,226,1,2,0,22,5,2,70,30
"E33020052","E01009403","E02001846",2011,387,224,1,3,0,30,7,3,89,30
"E33020052","E01009406","E02001846",2011,387,224,1,3,0,30,7,3,89,30
"E33020052","E01009404","E02001846",2011,387,224,1,3,0,30,7,3,89,30
"E33020053","E01009439","E02001847",2011,301,195,1,3,0,7,5,2,74,14
"E33020053","E01009442","E02001847",2011,301,195,1,3,0,7,5,2,74,14
"E33020054","E01009441","E02001847",2011,340,212,2,2,0,4,1,2,98,19
"E33020055","E01009443","E02001847",2011,579,378,1,7,0,12,1,1,148,31
"E33020055","E01009442","E02001847",2011,579,378,1,7,0,12,1,1,148,31
"E33020056","E01009123","E02001848",2011,449,292,1,7,1,19,8,7,88,26
"E33020057","E01009124","E02001848",2011,303,163,0,4,0,28,10,1,69,28
"E33020057","E01009125","E02001848",2011,303,163,0,4,0,28,10,1,69,28
"E33020057","E01009123","E02001848",2011,303,163,0,4,0,28,10,1,69,28
"E33020058","E01009232","E02001848",2011,549,354,5,7,0,22,13,1,122,25
"E33020059","E01033632","E02001849",2011,309,193,0,7,0,15,2,3,67,22
"E33020059","E01009007","E02001849",2011,309,193,0,7,0,15,2,3,67,22
"E33020060","E01009002","E02001849",2011,293,159,0,2,1,11,5,4,85,26
"E33020060","E01009006","E02001849",2011,293,159,0,2,1,11,5,4,85,26
"E33020060","E01009007","E02001849",2011,293,159,0,2,1,11,5,4,85,26
"E33020061","E01033632","E02001849",2011,335,203,0,4,0,15,5,4,83,21
"E33020062","E01009007","E02001849",2011,335,186,2,3,0,26,5,2,92,19
"E33020062","E01009006","E02001849",2011,335,186,2,3,0,26,5,2,92,19
"E33020063","E01009237","E02001850",2011,339,190,0,15,0,31,31,2,54,16
"E33020063","E01009240","E02001850",2011,339,190,0,15,0,31,31,2,54,16
"E33020064","E01009237","E02001850",2011,320,189,0,9,1,34,22,3,46,16
"E33020064","E01009238","E02001850",2011,320,189,0,9,1,34,22,3,46,16
"E33020065","E01009238","E02001850",2011,647,359,1,18,0,71,41,3,120,34
"E33020065","E01009241","E02001850",2011,647,359,1,18,0,71,41,3,120,34
"E33020065","E01009240","E02001850",2011,647,359,1,18,0,71,41,3,120,34
"E33020066","E01009242","E02001850",2011,483,232,3,21,0,63,53,14,68,29
"E33020066","E01009241","E02001850",2011,483,232,3,21,0,63,53,14,68,29
"E33020067","E01009100","E02001851",2011,449,280,3,5,0,19,8,4,120,10
"E33020067","E01009098","E02001851",2011,449,280,3,5,0,19,8,4,120,10
"E33020067","E01009105","E02001851",2011,449,280,3,5,0,19,8,4,120,10
"E33020068","E01009005","E02001851",2011,362,230,1,2,0,12,4,6,82,25
"E33020068","E01009009","E02001851",2011,362,230,1,2,0,12,4,6,82,25
"E33020068","E01009100","E02001851",2011,362,230,1,2,0,12,4,6,82,25
"E33020069","E01009105","E02001851",2011,495,276,4,6,2,26,7,1,143,30
"E33020070","E01009100","E02001851",2011,452,261,2,8,0,15,16,0,122,28
"E33020070","E01009098","E02001851",2011,452,261,2,8,0,15,16,0,122,28
"E33020071","E01009409","E02001852",2011,293,193,3,2,0,11,7,0,63,14
"E33020071","E01009408","E02001852",2011,293,193,3,2,0,11,7,0,63,14
"E33020072","E01009408","E02001852",2011,386,242,0,10,1,32,13,0,71,17
"E33020072","E01009410","E02001852",2011,386,242,0,10,1,32,13,0,71,17
"E33020073","E01009410","E02001852",2011,777,484,4,11,1,28,13,1,190,45
"E33020074","E01009410","E02001852",2011,463,230,5,9,0,44,13,1,129,32
"E33020074","E01009408","E02001852",2011,463,230,5,9,0,44,13,1,129,32
"E33020074","E01009126","E02001852",2011,463,230,5,9,0,44,13,1,129,32
"E33020075","E01009011","E02001854",2011,309,195,2,5,0,32,4,2,58,11
"E33020076","E01009008","E02001854",2011,310,204,0,7,0,14,8,2,54,21
"E33020076","E01009012","E02001854",2011,310,204,0,7,0,14,8,2,54,21
"E33020076","E01009011","E02001854",2011,310,204,0,7,0,14,8,2,54,21
"E33020077","E01009104","E02001854",2011,575,334,0,14,0,45,10,1,139,32
"E33020077","E01009102","E02001854",2011,575,334,0,14,0,45,10,1,139,32
"E33020078","E01009012","E02001854",2011,269,174,0,3,1,16,2,1,58,14
"E33020078","E01009102","E02001854",2011,269,174,0,3,1,16,2,1,58,14
"E33020079","E01009099","E02001855",2011,366,210,0,2,0,12,3,1,117,21
"E33020079","E01009097","E02001855",2011,366,210,0,2,0,12,3,1,117,21
"E33020080","E01009096","E02001855",2011,261,175,0,1,1,5,4,0,60,15
"E33020081","E01009103","E02001855",2011,380,226,1,2,0,8,4,1,122,16
"E33020081","E01009097","E02001855",2011,380,226,1,2,0,8,4,1,122,16
"E33020082","E01009106","E02001855",2011,929,606,0,4,2,16,3,0,247,51
"E33020082","E01009097","E02001855",2011,929,606,0,4,2,16,3,0,247,51
"E33020083","E01009101","E02001855",2011,675,400,5,9,0,33,9,1,173,45
"E33020083","E01009099","E02001855",2011,675,400,5,9,0,33,9,1,173,45
"E33020084","E01009411","E02001856",2011,675,431,1,3,0,35,12,5,150,38
"E33020084","E01009414","E02001856",2011,675,431,1,3,0,35,12,5,150,38
"E33020084","E01008915","E02001856",2011,675,431,1,3,0,35,12,5,150,38
"E33020085","E01009413","E02001856",2011,282,133,2,2,0,47,18,3,57,20
"E33020085","E01009412","E02001856",2011,282,133,2,2,0,47,18,3,57,20
"E33020085","E01009414","E02001856",2011,282,133,2,2,0,47,18,3,57,20
"E33020086","E01008915","E02001856",2011,567,310,1,12,0,59,19,15,116,35
"E33020087","E01009414","E02001856",2011,450,192,1,12,1,127,12,2,78,25
"E33020087","E01009413","E02001856",2011,450,192,1,12,1,127,12,2,78,25
"E33020088","E01008999","E02001857",2011,246,134,1,9,0,28,8,1,46,19
"E33020088","E01009000","E02001857",2011,246,134,1,9,0,28,8,1,46,19
"E33020089","E01033646","E02001857",2011,307,166,3,10,0,30,10,4,65,19
"E33020089","E01009000","E02001857",2011,307,166,3,10,0,30,10,4,65,19
"E33020090","E01033646","E02001857",2011,403,245,1,6,0,23,11,4,90,23
"E33020091","E01008998","E02001857",2011,395,233,5,7,1,40,13,2,73,21
"E33020092","E01009000","E02001857",2011,320,160,1,6,0,35,4,1,87,26
"E33020092","E01008999","E02001857",2011,320,160,1,6,0,35,4,1,87,26
"E33020092","E01009400","E02001857",2011,320,160,1,6,0,35,4,1,87,26
"E33020093","E01009013","E02001857",2011,290,183,1,11,0,19,6,1,48,21
"E33020094","E01033630","E02001857",2011,369,202,3,8,1,19,9,5,100,22
"E33020095","E01009013","E02001857",2011,570,303,1,7,0,63,23,4,127,42
"E33020096","E01009401","E02001857",2011,501,260,1,17,0,46,9,2,135,31
"E33020097","E01009056","E02001858",2011,273,89,3,8,0,55,39,9,51,19
"E33020098","E01009263","E02001858",2011,307,131,1,11,0,51,46,11,36,20
"E33020098","E01009049","E02001858",2011,307,131,1,11,0,51,46,11,36,20
"E33020099","E01009264","E02001858",2011,402,170,1,17,0,46,67,9,63,29
"E33020099","E01009265","E02001858",2011,402,170,1,17,0,46,67,9,63,29
"E33020100","E01009263","E02001858",2011,352,176,5,14,0,45,40,8,47,17
"E33020100","E01009265","E02001858",2011,352,176,5,14,0,45,40,8,47,17
"E33020101","E01009058","E02001859",2011,326,95,1,11,0,163,19,0,20,17
"E33020101","E01009054","E02001859",2011,326,95,1,11,0,163,19,0,20,17
"E33020101","E01009061","E02001859",2011,326,95,1,11,0,163,19,0,20,17
"E33020102","E01009054","E02001859",2011,499,206,1,14,0,173,21,2,59,23
"E33020102","E01009058","E02001859",2011,499,206,1,14,0,173,21,2,59,23
"E33020102","E01009051","E02001859",2011,499,206,1,14,0,173,21,2,59,23
"E33020103","E01009058","E02001859",2011,486,140,4,33,0,211,13,2,56,27
"E33020103","E01009053","E02001859",2011,486,140,4,33,0,211,13,2,56,27
"E33020104","E01009239","E02001859",2011,412,252,1,12,0,25,10,3,76,33
"E33020105","E01009051","E02001859",2011,393,140,1,14,1,139,28,2,41,27
"E33020105","E01009054","E02001859",2011,393,140,1,14,1,139,28,2,41,27
"E33020106","E01009273","E02001860",2011,331,137,2,19,0,63,69,6,17,18
"E33020106","E01009271","E02001860",2011,331,137,2,19,0,63,69,6,17,18
"E33020106","E01009269","E02001860",2011,331,137,2,19,0,63,69,6,17,18
"E33020106","E01009270","E02001860",2011,331,137,2,19,0,63,69,6,17,18
"E33020107","E01009266","E02001860",2011,418,175,1,27,0,55,83,8,30,39
"E33020107","E01009269","E02001860",2011,418,175,1,27,0,55,83,8,30,39
"E33020107","E01009271","E02001860",2011,418,175,1,27,0,55,83,8,30,39
"E33020108","E01009270","E02001860",2011,373,118,2,31,0,60,87,14,36,25
"E33020108","E01009266","E02001860",2011,373,118,2,31,0,60,87,14,36,25
"E33020109","E01009057","E02001861",2011,292,98,2,8,0,122,23,1,14,24
"E33020109","E01009059","E02001861",2011,292,98,2,8,0,122,23,1,14,24
"E33020110","E01033621","E02001861",2011,262,121,0,17,1,79,11,0,23,10
"E33020111","E01033621","E02001861",2011,258,114,3,8,0,51,12,9,40,21
"E33020112","E01009059","E02001861",2011,293,101,1,9,0,117,16,1,29,19
"E33020112","E01009060","E02001861",2011,293,101,1,9,0,117,16,1,29,19
"E33020113","E01009050","E02001861",2011,477,203,2,24,0,124,44,3,56,21
"E33020113","E01009057","E02001861",2011,477,203,2,24,0,124,44,3,56,21
"E33020114","E01009349","E02001862",2011,412,169,0,24,0,58,68,9,61,23
"E33020114","E01009351","E02001862",2011,412,169,0,24,0,58,68,9,61,23
"E33020115","E01009349","E02001862",2011,337,115,1,30,0,72,76,3,24,16
"E33020115","E01009351","E02001862",2011,337,115,1,30,0,72,76,3,24,16
"E33020115","E01009274","E02001862",2011,337,115,1,30,0,72,76,3,24,16
"E33020116","E01009274","E02001862",2011,297,81,1,25,0,77,57,9,26,21
"E33020117","E01009272","E02001862",2011,279,128,5,13,0,18,60,14,24,17
"E33020117","E01009268","E02001862",2011,279,128,5,13,0,18,60,14,24,17
"E33020118","E01009351","E02001862",2011,428,187,4,20,0,47,71,4,60,35
"E33020118","E01009354","E02001862",2011,428,187,4,20,0,47,71,4,60,35
"E33020119","E01009272","E02001862",2011,300,143,0,9,0,12,58,6,52,20
"E33020119","E01009274","E02001862",2011,300,143,0,9,0,12,58,6,52,20
"E33020120","E01008916","E02001863",2011,224,57,1,2,0,117,13,2,14,18
"E33020121","E01008901","E02001863",2011,220,110,0,9,0,35,14,3,35,14
"E33020122","E01033636","E02001863",2011,306,70,0,7,1,186,9,0,16,17
"E33020123","E01008899","E02001863",2011,427,249,1,8,0,52,8,3,84,22
"E33020123","E01008916","E02001863",2011,427,249,1,8,0,52,8,3,84,22
"E33020124","E01008901","E02001863",2011,312,100,0,2,0,163,8,3,24,12
"E33020124","E01033636","E02001863",2011,312,100,0,2,0,163,8,3,24,12
"E33020125","E01009081","E02001864",2011,613,368,2,9,0,83,11,2,101,37
"E33020125","E01009083","E02001864",2011,613,368,2,9,0,83,11,2,101,37
"E33020125","E01009080","E02001864",2011,613,368,2,9,0,83,11,2,101,37
"E33020125","E01009079","E02001864",2011,613,368,2,9,0,83,11,2,101,37
"E33020126","E01033635","E02001865",2011,396,122,2,39,0,64,95,6,46,22
"E33020127","E01009350","E02001865",2011,279,89,0,23,0,53,49,10,33,22
"E33020127","E01009275","E02001865",2011,279,89,0,23,0,53,49,10,33,22
"E33020128","E01009352","E02001865",2011,373,91,4,30,0,101,81,12,26,28
"E33020128","E01009353","E02001865",2011,373,91,4,30,0,101,81,12,26,28
"E33020129","E01009355","E02001865",2011,360,121,1,17,0,95,44,7,56,19
"E33020129","E01009352","E02001865",2011,360,121,1,17,0,95,44,7,56,19
"E33020130","E01009275","E02001865",2011,461,158,9,38,0,70,80,13,78,15
"E33020131","E01009355","E02001865",2011,596,240,4,27,0,77,123,12,73,40
"E33020132","E01008907","E02001866",2011,337,128,5,9,0,111,19,2,44,19
"E33020132","E01009048","E02001866",2011,337,128,5,9,0,111,19,2,44,19
"E33020133","E01008905","E02001866",2011,391,139,1,5,0,163,15,6,38,24
"E33020133","E01008907","E02001866",2011,391,139,1,5,0,163,15,6,38,24
"E33020134","E01009047","E02001866",2011,259,100,0,16,1,79,22,4,17,20
"E33020134","E01009048","E02001866",2011,259,100,0,16,1,79,22,4,17,20
"E33020135","E01009048","E02001866",2011,458,174,4,19,1,131,31,4,61,33
