"wz11cd","lsoa11cd","msoa11cd","date","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"E33020001","E01009471","E02001835",2011,288,148,112,22,5,1
"E33020002","E01009453","E02001835",2011,566,279,216,64,5,2
"E33020002","E01009449","E02001835",2011,566,279,216,64,5,2
"E33020002","E01009451","E02001835",2011,566,279,216,64,5,2
"E33020003","E01009471","E02001835",2011,272,124,114,28,6,0
"E33020003","E01009466","E02001835",2011,272,124,114,28,6,0
"E33020004","E01009466","E02001835",2011,357,175,153,23,6,0
"E33020005","E01009449","E02001835",2011,506,251,204,43,8,0
"E33020006","E01009451","E02001835",2011,450,224,185,36,4,1
"E33020007","E01009472","E02001836",2011,370,183,145,38,3,1
"E33020007","E01009474","E02001836",2011,370,183,145,38,3,1
"E33020007","E01009470","E02001836",2011,370,183,145,38,3,1
"E33020008","E01009472","E02001836",2011,309,129,139,33,8,0
"E33020008","E01009135","E02001836",2011,309,129,139,33,8,0
"E33020008","E01009473","E02001836",2011,309,129,139,33,8,0
"E33020009","E01009469","E02001836",2011,263,128,111,22,2,0
"E33020009","E01009470","E02001836",2011,263,128,111,22,2,0
"E33020010","E01009474","E02001836",2011,306,144,127,28,7,0
"E33020010","E01009472","E02001836",2011,306,144,127,28,7,0
"E33020011","E01009473","E02001836",2011,1444,690,579,151,20,4
"E33020011","E01009469","E02001836",2011,1444,690,579,151,20,4
"E33020012","E01009133","E02001837",2011,654,301,264,79,7,3
"E33020012","E01009134","E02001837",2011,654,301,264,79,7,3
"E33020012","E01009131","E02001837",2011,654,301,264,79,7,3
"E33020012","E01009130","E02001837",2011,654,301,264,79,7,3
"E33020013","E01009128","E02001837",2011,357,145,159,45,5,3
"E33020013","E01009131","E02001837",2011,357,145,159,45,5,3
"E33020013","E01009127","E02001837",2011,357,145,159,45,5,3
"E33020014","E01009137","E02001837",2011,337,152,146,28,8,3
"E33020014","E01009134","E02001837",2011,337,152,146,28,8,3
"E33020015","E01009440","E02001838",2011,383,176,157,38,10,2
"E33020015","E01009436","E02001838",2011,383,176,157,38,10,2
"E33020016","E01009438","E02001838",2011,280,147,105,24,4,0
"E33020016","E01009436","E02001838",2011,280,147,105,24,4,0
"E33020017","E01009440","E02001838",2011,281,134,118,24,5,0
"E33020018","E01009450","E02001838",2011,367,186,148,30,2,1
"E33020018","E01009434","E02001838",2011,367,186,148,30,2,1
"E33020019","E01009225","E02001839",2011,365,148,172,34,11,0
"E33020019","E01009223","E02001839",2011,365,148,172,34,11,0
"E33020019","E01009228","E02001839",2011,365,148,172,34,11,0
"E33020020","E01009227","E02001839",2011,328,157,130,33,8,0
"E33020020","E01009228","E02001839",2011,328,157,130,33,8,0
"E33020021","E01009223","E02001839",2011,254,104,109,35,6,0
"E33020022","E01009228","E02001839",2011,310,117,144,44,5,0
"E33020022","E01009225","E02001839",2011,310,117,144,44,5,0
"E33020023","E01009129","E02001840",2011,305,152,115,28,9,1
"E33020023","E01009132","E02001840",2011,305,152,115,28,9,1
"E33020024","E01009121","E02001840",2011,245,121,95,25,3,1
"E33020025","E01009122","E02001840",2011,353,149,156,41,5,2
"E33020026","E01009136","E02001840",2011,376,136,168,56,12,4
"E33020026","E01009132","E02001840",2011,376,136,168,56,12,4
"E33020027","E01009121","E02001840",2011,274,123,105,35,10,1
"E33020028","E01009463","E02001841",2011,245,112,104,24,4,1
"E33020028","E01009457","E02001841",2011,245,112,104,24,4,1
"E33020029","E01009463","E02001841",2011,274,139,107,20,8,0
"E33020029","E01009459","E02001841",2011,274,139,107,20,8,0
"E33020030","E01009461","E02001841",2011,318,152,126,37,2,1
"E33020030","E01009463","E02001841",2011,318,152,126,37,2,1
"E33020031","E01009459","E02001841",2011,323,175,125,18,4,1
"E33020031","E01009457","E02001841",2011,323,175,125,18,4,1
"E33020032","E01009245","E02001842",2011,299,124,137,33,4,1
"E33020032","E01009246","E02001842",2011,299,124,137,33,4,1
"E33020032","E01009235","E02001842",2011,299,124,137,33,4,1
"E33020033","E01009247","E02001842",2011,295,125,132,29,5,4
"E33020033","E01009246","E02001842",2011,295,125,132,29,5,4
"E33020033","E01009243","E02001842",2011,295,125,132,29,5,4
"E33020034","E01009245","E02001842",2011,348,166,140,30,9,3
"E33020034","E01009243","E02001842",2011,348,166,140,30,9,3
"E33020035","E01009230","E02001843",2011,250,100,119,24,7,0
"E33020035","E01009229","E02001843",2011,250,100,119,24,7,0
"E33020036","E01009229","E02001843",2011,365,163,149,48,3,2
"E33020036","E01009231","E02001843",2011,365,163,149,48,3,2
"E33020036","E01009230","E02001843",2011,365,163,149,48,3,2
"E33020037","E01009231","E02001843",2011,322,146,130,39,7,0
"E33020038","E01009230","E02001843",2011,648,283,277,70,17,1
"E33020038","E01009226","E02001843",2011,648,283,277,70,17,1
"E33020038","E01009229","E02001843",2011,648,283,277,70,17,1
"E33020039","E01009226","E02001843",2011,317,135,134,40,6,2
"E33020040","E01009462","E02001844",2011,487,224,206,46,10,1
"E33020041","E01009003","E02001844",2011,465,214,184,59,5,3
"E33020042","E01009003","E02001844",2011,493,222,197,64,10,0
"E33020043","E01009458","E02001844",2011,284,128,121,30,5,0
"E33020043","E01009460","E02001844",2011,284,128,121,30,5,0
"E33020044","E01009456","E02001844",2011,344,187,128,21,6,2
"E33020044","E01009458","E02001844",2011,344,187,128,21,6,2
"E33020044","E01009460","E02001844",2011,344,187,128,21,6,2
"E33020045","E01009001","E02001844",2011,475,213,192,61,7,2
"E33020045","E01009460","E02001844",2011,475,213,192,61,7,2
"E33020046","E01009462","E02001844",2011,306,143,135,24,2,2
"E33020047","E01009236","E02001845",2011,304,118,148,32,5,1
"E33020047","E01009234","E02001845",2011,304,118,148,32,5,1
"E33020047","E01009244","E02001845",2011,304,118,148,32,5,1
"E33020048","E01009244","E02001845",2011,695,305,312,67,10,1
"E33020048","E01009248","E02001845",2011,695,305,312,67,10,1
"E33020049","E01009234","E02001845",2011,347,147,159,34,6,1
"E33020049","E01009248","E02001845",2011,347,147,159,34,6,1
"E33020049","E01009244","E02001845",2011,347,147,159,34,6,1
"E33020050","E01009405","E02001846",2011,297,127,116,40,14,0
"E33020050","E01009406","E02001846",2011,297,127,116,40,14,0
"E33020051","E01009407","E02001846",2011,358,163,147,40,7,1
"E33020051","E01009405","E02001846",2011,358,163,147,40,7,1
"E33020052","E01009403","E02001846",2011,387,166,166,44,9,2
"E33020052","E01009406","E02001846",2011,387,166,166,44,9,2
"E33020052","E01009404","E02001846",2011,387,166,166,44,9,2
"E33020053","E01009439","E02001847",2011,301,168,114,15,3,1
"E33020053","E01009442","E02001847",2011,301,168,114,15,3,1
"E33020054","E01009441","E02001847",2011,340,153,150,26,10,1
"E33020055","E01009443","E02001847",2011,579,272,255,38,14,0
"E33020055","E01009442","E02001847",2011,579,272,255,38,14,0
"E33020056","E01009123","E02001848",2011,449,205,195,36,12,1
"E33020057","E01009124","E02001848",2011,303,125,133,40,5,0
"E33020057","E01009125","E02001848",2011,303,125,133,40,5,0
"E33020057","E01009123","E02001848",2011,303,125,133,40,5,0
"E33020058","E01009232","E02001848",2011,549,250,236,53,9,1
"E33020059","E01033632","E02001849",2011,309,115,145,42,7,0
"E33020059","E01009007","E02001849",2011,309,115,145,42,7,0
"E33020060","E01009002","E02001849",2011,293,118,137,36,1,1
"E33020060","E01009006","E02001849",2011,293,118,137,36,1,1
"E33020060","E01009007","E02001849",2011,293,118,137,36,1,1
"E33020061","E01033632","E02001849",2011,335,156,131,41,6,1
"E33020062","E01009007","E02001849",2011,335,168,128,35,3,1
"E33020062","E01009006","E02001849",2011,335,168,128,35,3,1
"E33020063","E01009237","E02001850",2011,339,143,148,38,7,3
"E33020063","E01009240","E02001850",2011,339,143,148,38,7,3
"E33020064","E01009237","E02001850",2011,320,154,122,36,6,2
"E33020064","E01009238","E02001850",2011,320,154,122,36,6,2
"E33020065","E01009238","E02001850",2011,647,281,289,66,10,1
"E33020065","E01009241","E02001850",2011,647,281,289,66,10,1
"E33020065","E01009240","E02001850",2011,647,281,289,66,10,1
"E33020066","E01009242","E02001850",2011,483,201,226,48,5,3
"E33020066","E01009241","E02001850",2011,483,201,226,48,5,3
"E33020067","E01009100","E02001851",2011,449,189,217,34,6,3
"E33020067","E01009098","E02001851",2011,449,189,217,34,6,3
"E33020067","E01009105","E02001851",2011,449,189,217,34,6,3
"E33020068","E01009005","E02001851",2011,362,159,160,28,12,3
"E33020068","E01009009","E02001851",2011,362,159,160,28,12,3
"E33020068","E01009100","E02001851",2011,362,159,160,28,12,3
"E33020069","E01009105","E02001851",2011,495,213,205,63,13,1
"E33020070","E01009100","E02001851",2011,452,183,215,42,10,2
"E33020070","E01009098","E02001851",2011,452,183,215,42,10,2
"E33020071","E01009409","E02001852",2011,293,114,131,40,4,4
"E33020071","E01009408","E02001852",2011,293,114,131,40,4,4
"E33020072","E01009408","E02001852",2011,386,164,171,41,6,4
"E33020072","E01009410","E02001852",2011,386,164,171,41,6,4
"E33020073","E01009410","E02001852",2011,777,398,306,63,7,3
"E33020074","E01009410","E02001852",2011,463,174,221,56,6,6
"E33020074","E01009408","E02001852",2011,463,174,221,56,6,6
"E33020074","E01009126","E02001852",2011,463,174,221,56,6,6
"E33020075","E01009011","E02001854",2011,309,128,130,43,6,2
"E33020076","E01009008","E02001854",2011,310,151,126,26,7,0
"E33020076","E01009012","E02001854",2011,310,151,126,26,7,0
"E33020076","E01009011","E02001854",2011,310,151,126,26,7,0
"E33020077","E01009104","E02001854",2011,575,256,248,58,9,4
"E33020077","E01009102","E02001854",2011,575,256,248,58,9,4
"E33020078","E01009012","E02001854",2011,269,117,127,24,1,0
"E33020078","E01009102","E02001854",2011,269,117,127,24,1,0
"E33020079","E01009099","E02001855",2011,366,161,153,44,6,2
"E33020079","E01009097","E02001855",2011,366,161,153,44,6,2
"E33020080","E01009096","E02001855",2011,261,123,95,34,6,3
"E33020081","E01009103","E02001855",2011,380,156,183,32,9,0
"E33020081","E01009097","E02001855",2011,380,156,183,32,9,0
"E33020082","E01009106","E02001855",2011,929,421,375,107,22,4
"E33020082","E01009097","E02001855",2011,929,421,375,107,22,4
"E33020083","E01009101","E02001855",2011,675,321,287,54,12,1
"E33020083","E01009099","E02001855",2011,675,321,287,54,12,1
"E33020084","E01009411","E02001856",2011,675,284,293,86,11,1
"E33020084","E01009414","E02001856",2011,675,284,293,86,11,1
"E33020084","E01008915","E02001856",2011,675,284,293,86,11,1
"E33020085","E01009413","E02001856",2011,282,109,130,37,4,2
"E33020085","E01009412","E02001856",2011,282,109,130,37,4,2
"E33020085","E01009414","E02001856",2011,282,109,130,37,4,2
"E33020086","E01008915","E02001856",2011,567,208,281,67,8,3
"E33020087","E01009414","E02001856",2011,450,192,183,65,9,1
"E33020087","E01009413","E02001856",2011,450,192,183,65,9,1
"E33020088","E01008999","E02001857",2011,246,109,93,35,6,3
"E33020088","E01009000","E02001857",2011,246,109,93,35,6,3
"E33020089","E01033646","E02001857",2011,307,151,115,34,6,1
"E33020089","E01009000","E02001857",2011,307,151,115,34,6,1
"E33020090","E01033646","E02001857",2011,403,158,184,52,8,1
"E33020091","E01008998","E02001857",2011,395,163,185,35,11,1
"E33020092","E01009000","E02001857",2011,320,137,131,38,14,0
"E33020092","E01008999","E02001857",2011,320,137,131,38,14,0
"E33020092","E01009400","E02001857",2011,320,137,131,38,14,0
"E33020093","E01009013","E02001857",2011,290,129,121,34,5,1
"E33020094","E01033630","E02001857",2011,369,151,165,46,6,1
"E33020095","E01009013","E02001857",2011,570,277,234,50,6,3
"E33020096","E01009401","E02001857",2011,501,244,202,47,5,3
"E33020097","E01009056","E02001858",2011,273,112,121,34,6,0
"E33020098","E01009263","E02001858",2011,307,120,144,36,7,0
"E33020098","E01009049","E02001858",2011,307,120,144,36,7,0
"E33020099","E01009264","E02001858",2011,402,186,153,47,10,6
"E33020099","E01009265","E02001858",2011,402,186,153,47,10,6
"E33020100","E01009263","E02001858",2011,352,160,137,42,12,1
"E33020100","E01009265","E02001858",2011,352,160,137,42,12,1
"E33020101","E01009058","E02001859",2011,326,133,135,41,12,5
"E33020101","E01009054","E02001859",2011,326,133,135,41,12,5
"E33020101","E01009061","E02001859",2011,326,133,135,41,12,5
"E33020102","E01009054","E02001859",2011,499,199,232,58,7,3
"E33020102","E01009058","E02001859",2011,499,199,232,58,7,3
"E33020102","E01009051","E02001859",2011,499,199,232,58,7,3
"E33020103","E01009058","E02001859",2011,486,215,210,51,9,1
"E33020103","E01009053","E02001859",2011,486,215,210,51,9,1
"E33020104","E01009239","E02001859",2011,412,138,215,46,9,4
"E33020105","E01009051","E02001859",2011,393,146,185,57,4,1
"E33020105","E01009054","E02001859",2011,393,146,185,57,4,1
"E33020106","E01009273","E02001860",2011,331,136,134,42,14,5
"E33020106","E01009271","E02001860",2011,331,136,134,42,14,5
"E33020106","E01009269","E02001860",2011,331,136,134,42,14,5
"E33020106","E01009270","E02001860",2011,331,136,134,42,14,5
"E33020107","E01009266","E02001860",2011,418,177,177,54,8,2
"E33020107","E01009269","E02001860",2011,418,177,177,54,8,2
"E33020107","E01009271","E02001860",2011,418,177,177,54,8,2
"E33020108","E01009270","E02001860",2011,373,152,164,42,13,2
"E33020108","E01009266","E02001860",2011,373,152,164,42,13,2
"E33020109","E01009057","E02001861",2011,292,109,134,41,7,1
"E33020109","E01009059","E02001861",2011,292,109,134,41,7,1
"E33020110","E01033621","E02001861",2011,262,109,112,35,5,1
"E33020111","E01033621","E02001861",2011,258,107,116,31,4,0
"E33020112","E01009059","E02001861",2011,293,117,130,34,11,1
"E33020112","E01009060","E02001861",2011,293,117,130,34,11,1
"E33020113","E01009050","E02001861",2011,477,203,208,52,11,3
"E33020113","E01009057","E02001861",2011,477,203,208,52,11,3
"E33020114","E01009349","E02001862",2011,412,143,199,61,9,0
"E33020114","E01009351","E02001862",2011,412,143,199,61,9,0
"E33020115","E01009349","E02001862",2011,337,155,131,42,6,3
"E33020115","E01009351","E02001862",2011,337,155,131,42,6,3
"E33020115","E01009274","E02001862",2011,337,155,131,42,6,3
"E33020116","E01009274","E02001862",2011,297,109,134,43,10,1
"E33020117","E01009272","E02001862",2011,279,125,114,33,5,2
"E33020117","E01009268","E02001862",2011,279,125,114,33,5,2
"E33020118","E01009351","E02001862",2011,428,206,183,38,0,1
"E33020118","E01009354","E02001862",2011,428,206,183,38,0,1
"E33020119","E01009272","E02001862",2011,300,119,137,38,4,2
"E33020119","E01009274","E02001862",2011,300,119,137,38,4,2
"E33020120","E01008916","E02001863",2011,224,96,91,30,6,1
"E33020121","E01008901","E02001863",2011,220,94,98,24,4,0
"E33020122","E01033636","E02001863",2011,306,117,144,38,7,0
"E33020123","E01008899","E02001863",2011,427,222,163,37,3,2
"E33020123","E01008916","E02001863",2011,427,222,163,37,3,2
"E33020124","E01008901","E02001863",2011,312,146,134,24,8,0
"E33020124","E01033636","E02001863",2011,312,146,134,24,8,0
"E33020125","E01009081","E02001864",2011,613,228,280,83,15,7
"E33020125","E01009083","E02001864",2011,613,228,280,83,15,7
"E33020125","E01009080","E02001864",2011,613,228,280,83,15,7
"E33020125","E01009079","E02001864",2011,613,228,280,83,15,7
"E33020126","E01033635","E02001865",2011,396,178,169,37,9,3
"E33020127","E01009350","E02001865",2011,279,120,107,45,5,2
"E33020127","E01009275","E02001865",2011,279,120,107,45,5,2
"E33020128","E01009352","E02001865",2011,373,155,162,51,4,1
"E33020128","E01009353","E02001865",2011,373,155,162,51,4,1
"E33020129","E01009355","E02001865",2011,360,170,142,43,4,1
"E33020129","E01009352","E02001865",2011,360,170,142,43,4,1
"E33020130","E01009275","E02001865",2011,461,207,195,50,5,4
"E33020131","E01009355","E02001865",2011,596,275,242,69,6,4
"E33020132","E01008907","E02001866",2011,337,146,142,43,4,2
"E33020132","E01009048","E02001866",2011,337,146,142,43,4,2
"E33020133","E01008905","E02001866",2011,391,166,167,52,6,0
"E33020133","E01008907","E02001866",2011,391,166,167,52,6,0
"E33020134","E01009047","E02001866",2011,259,109,98,38,10,4
"E33020134","E01009048","E02001866",2011,259,109,98,38,10,4
"E33020135","E01009048","E02001866",2011,458,195,197,56,8,2
"E33020135","E01009047","E02001866",2011,458,195,197,56,8,2
"E33020136","E01009047","E02001866",2011,326,136,139,45,5,1
"E33020136","E01009062","E02001866",2011,326,136,139,45,5,1
"E33020137","E01008909","E02001867",2011,282,118,131,30,3,0
"E33020138","E01033637","E02001867",2011,338,153,148,33,2,2
"E33020139","E01033628","E02001867",2011,399,164,175,51,8,1
"E33020139","E01033637","E02001867",2011,399,164,175,51,8,1
"E33020140","E01033628","E02001867",2011,230,81,113,31,4,1
"E33020141","E01008909","E02001867",2011,505,228,208,60,9,0
"E33020141","E01033628","E02001867",2011,505,228,208,60,9,0
"E33020141","E01033637","E02001867",2011,505,228,208,60,9,0
"E33020142","E01009087","E02001868",2011,252,103,120,27,2,0
"E33020142","E01009089","E02001868",2011,252,103,120,27,2,0
"E33020143","E01009090","E02001868",2011,316,120,146,45,4,1
"E33020143","E01009089","E02001868",2011,316,120,146,45,4,1
"E33020144","E01009090","E02001868",2011,510,232,216,55,6,1
"E33020144","E01009085","E02001868",2011,510,232,216,55,6,1
"E33020145","E01009090","E02001868",2011,400,186,157,47,9,1
"E33020145","E01009084","E02001868",2011,400,186,157,47,9,1
"E33020145","E01009085","E02001868",2011,400,186,157,47,9,1
"E33020146","E01009203","E02001869",2011,333,166,119,42,4,2
"E33020146","E01009201","E02001869",2011,333,166,119,42,4,2
"E33020147","E01009201","E02001869",2011,335,145,147,31,8,4
"E33020147","E01009202","E02001869",2011,335,145,147,31,8,4
"E33020148","E01009481","E02001870",2011,278,122,127,26,3,0
"E33020148","E01009487","E02001870",2011,278,122,127,26,3,0
"E33020149","E01009487","E02001870",2011,339,134,159,42,4,0
"E33020149","E01009486","E02001870",2011,339,134,159,42,4,0
"E33020150","E01009082","E02001870",2011,666,296,287,77,6,0
"E33020150","E01009086","E02001870",2011,666,296,287,77,6,0
"E33020151","E01009086","E02001870",2011,332,155,140,30,6,1
"E33020152","E01009481","E02001870",2011,232,93,106,26,7,0
"E33020153","E01009486","E02001870",2011,533,209,224,80,18,2
"E33020153","E01009480","E02001870",2011,533,209,224,80,18,2
"E33020154","E01009091","E02001871",2011,358,157,139,53,7,2
"E33020154","E01009088","E02001871",2011,358,157,139,53,7,2
"E33020154","E01009305","E02001871",2011,358,157,139,53,7,2
"E33020154","E01009307","E02001871",2011,358,157,139,53,7,2
"E33020155","E01009091","E02001871",2011,429,191,186,43,7,2
"E33020155","E01009305","E02001871",2011,429,191,186,43,7,2
"E33020155","E01009307","E02001871",2011,429,191,186,43,7,2
"E33020155","E01009309","E02001871",2011,429,191,186,43,7,2
"E33020156","E01009310","E02001872",2011,327,145,132,44,5,1
"E33020156","E01009308","E02001872",2011,327,145,132,44,5,1
"E33020156","E01009306","E02001872",2011,327,145,132,44,5,1
"E33020157","E01009306","E02001872",2011,352,158,146,42,5,1
"E33020157","E01009310","E02001872",2011,352,158,146,42,5,1
"E33020157","E01009304","E02001872",2011,352,158,146,42,5,1
"E33020158","E01009304","E02001872",2011,459,196,197,53,11,2
"E33020158","E01009310","E02001872",2011,459,196,197,53,11,2
"E33020159","E01009358","E02001873",2011,494,179,215,81,14,5
"E33020159","E01009359","E02001873",2011,494,179,215,81,14,5
"E33020160","E01009359","E02001873",2011,600,256,240,93,9,2
"E33020161","E01009348","E02001873",2011,687,308,270,98,8,3
"E33020161","E01009360","E02001873",2011,687,308,270,98,8,3
"E33020162","E01009361","E02001873",2011,473,183,220,56,11,3
"E33020162","E01009360","E02001873",2011,473,183,220,56,11,3
"E33020163","E01009358","E02001873",2011,417,166,187,53,11,0
"E33020164","E01009348","E02001873",2011,4642,2350,1752,448,78,14
"E33020165","E01009484","E02001874",2011,519,199,234,71,13,2
"E33020165","E01009485","E02001874",2011,519,199,234,71,13,2
"E33020166","E01009482","E02001874",2011,475,179,220,65,8,3
"E33020166","E01009479","E02001874",2011,475,179,220,65,8,3
"E33020167","E01009478","E02001874",2011,541,220,248,62,8,3
"E33020167","E01009479","E02001874",2011,541,220,248,62,8,3
"E33020167","E01009484","E02001874",2011,541,220,248,62,8,3
"E33020168","E01009347","E02001875",2011,239,89,111,30,4,5
"E33020169","E01033559","E02001875",2011,307,133,133,35,5,1
"E33020170","E01009347","E02001875",2011,493,179,244,55,14,1
"E33020171","E01033638","E02001875",2011,416,154,204,46,11,1
"E33020171","E01008906","E02001875",2011,416,154,204,46,11,1
"E33020172","E01033638","E02001875",2011,664,277,304,70,12,1
"E33020172","E01033559","E02001875",2011,664,277,304,70,12,1
"E33020172","E01008911","E02001875",2011,664,277,304,70,12,1
"E33020173","E01008913","E02001876",2011,225,96,93,33,3,0
"E33020174","E01008913","E02001876",2011,399,179,177,36,5,2
"E33020175","E01008914","E02001876",2011,466,219,197,44,3,3
"E33020176","E01008910","E02001876",2011,1790,951,669,132,32,6
"E33020177","E01033617","E02001876",2011,759,358,322,68,9,2
"E33020177","E01008914","E02001876",2011,759,358,322,68,9,2
"E33020178","E01008914","E02001876",2011,313,123,134,51,5,0
"E33020179","E01033561","E02001876",2011,1008,498,402,90,17,1
"E33020180","E01008914","E02001876",2011,1101,488,467,126,14,6
"E33020181","E01009194","E02001877",2011,393,167,162,56,8,0
"E33020182","E01009489","E02001877",2011,498,215,208,63,11,1
"E33020183","E01009194","E02001877",2011,277,124,124,22,5,2
"E33020183","E01009491","E02001877",2011,277,124,124,22,5,2
"E33020184","E01009483","E02001877",2011,282,112,129,33,7,1
"E33020184","E01009489","E02001877",2011,282,112,129,33,7,1
"E33020185","E01009488","E02001877",2011,307,129,127,43,6,2
"E33020185","E01009491","E02001877",2011,307,129,127,43,6,2
"E33020186","E01009199","E02001878",2011,643,302,269,65,5,2
"E33020187","E01009192","E02001878",2011,318,138,136,38,4,2
"E33020188","E01033644","E02001878",2011,466,183,199,72,6,6
"E33020189","E01009192","E02001878",2011,268,113,117,33,3,2
"E33020189","E01033644","E02001878",2011,268,113,117,33,3,2
"E33020190","E01009204","E02001878",2011,474,219,200,46,7,2
"E33020191","E01009346","E02001879",2011,432,192,174,57,8,1
"E33020191","E01009345","E02001879",2011,432,192,174,57,8,1
"E33020192","E01009345","E02001879",2011,579,260,236,67,15,1
"E33020193","E01009153","E02001879",2011,380,165,171,32,12,0
"E33020194","E01009152","E02001879",2011,421,183,173,55,8,2
"E33020194","E01009153","E02001879",2011,421,183,173,55,8,2
"E33020195","E01009152","E02001879",2011,360,119,181,53,7,0
"E33020195","E01009151","E02001879",2011,360,119,181,53,7,0
"E33020196","E01009311","E02001880",2011,293,136,109,40,6,2
"E33020196","E01009298","E02001880",2011,293,136,109,40,6,2
"E33020196","E01009094","E02001880",2011,293,136,109,40,6,2
"E33020196","E01009093","E02001880",2011,293,136,109,40,6,2
"E33020197","E01009092","E02001880",2011,336,137,149,44,6,0
"E33020197","E01009094","E02001880",2011,336,137,149,44,6,0
"E33020197","E01009093","E02001880",2011,336,137,149,44,6,0
"E33020198","E01009511","E02001880",2011,527,213,240,58,13,3
"E33020198","E01009298","E02001880",2011,527,213,240,58,13,3
"E33020199","E01009477","E02001881",2011,318,110,154,48,5,1
"E33020199","E01009492","E02001881",2011,318,110,154,48,5,1
"E33020199","E01009475","E02001881",2011,318,110,154,48,5,1
"E33020200","E01009476","E02001881",2011,546,260,208,60,17,1
"E33020201","E01009490","E02001881",2011,415,185,165,60,5,0
"E33020202","E01009476","E02001881",2011,400,147,176,64,13,0
"E33020202","E01009475","E02001881",2011,400,147,176,64,13,0
"E33020202","E01009477","E02001881",2011,400,147,176,64,13,0
"E33020203","E01009095","E02001882",2011,566,262,247,49,4,4
"E33020204","E01009508","E02001882",2011,620,353,203,49,13,2
"E33020204","E01009510","E02001882",2011,620,353,203,49,13,2
"E33020204","E01009509","E02001882",2011,620,353,203,49,13,2
"E33020205","E01009507","E02001882",2011,385,156,177,46,3,3
"E33020205","E01009509","E02001882",2011,385,156,177,46,3,3
"E33020206","E01009507","E02001882",2011,607,243,279,69,13,3
"E33020206","E01009095","E02001882",2011,607,243,279,69,13,3
"E33020207","E01009510","E02001882",2011,284,131,124,24,3,2
"E33020207","E01009509","E02001882",2011,284,131,124,24,3,2
"E33020208","E01009300","E02001883",2011,487,206,216,57,8,0
"E33020209","E01009301","E02001883",2011,336,138,135,51,9,3
"E33020209","E01009300","E02001883",2011,336,138,135,51,9,3
"E33020209","E01009297","E02001883",2011,336,138,135,51,9,3
"E33020209","E01009303","E02001883",2011,336,138,135,51,9,3
"E33020210","E01009297","E02001883",2011,340,144,148,42,4,2
"E33020210","E01009300","E02001883",2011,340,144,148,42,4,2
"E33020211","E01009299","E02001883",2011,322,132,141,35,11,3
"E33020211","E01009303","E02001883",2011,322,132,141,35,11,3
"E33020212","E01009301","E02001883",2011,362,155,143,55,7,2
"E33020212","E01009303","E02001883",2011,362,155,143,55,7,2
"E33020213","E01009195","E02001884",2011,678,289,286,91,10,2
"E33020213","E01009197","E02001884",2011,678,289,286,91,10,2
"E33020214","E01009198","E02001884",2011,262,95,120,35,10,2
"E33020215","E01033649","E02001884",2011,844,370,374,86,10,4
"E33020215","E01033647","E02001884",2011,844,370,374,86,10,4
"E33020216","E01009140","E02001886",2011,293,137,120,31,4,1
"E33020216","E01009145","E02001886",2011,293,137,120,31,4,1
"E33020217","E01009147","E02001886",2011,332,158,132,36,5,1
"E33020217","E01009139","E02001886",2011,332,158,132,36,5,1
"E33020217","E01009138","E02001886",2011,332,158,132,36,5,1
"E33020218","E01009145","E02001886",2011,245,109,113,21,1,1
"E33020218","E01009147","E02001886",2011,245,109,113,21,1,1
"E33020219","E01009147","E02001886",2011,350,156,157,30,7,0
"E33020219","E01009138","E02001886",2011,350,156,157,30,7,0
"E33020220","E01009138","E02001886",2011,465,178,203,75,5,4
"E33020220","E01009139","E02001886",2011,465,178,203,75,5,4
"E33020221","E01009140","E02001886",2011,239,106,97,27,7,2
"E33020222","E01009140","E02001886",2011,499,218,222,50,6,3
"E33020223","E01009517","E02001888",2011,336,150,136,43,7,0
"E33020223","E01009512","E02001888",2011,336,150,136,43,7,0
"E33020224","E01009517","E02001888",2011,431,213,162,45,9,2
"E33020224","E01009516","E02001888",2011,431,213,162,45,9,2
"E33020224","E01009514","E02001888",2011,431,213,162,45,9,2
"E33020225","E01009516","E02001888",2011,411,149,194,55,11,2
"E33020225","E01009514","E02001888",2011,411,149,194,55,11,2
"E33020226","E01033642","E02001889",2011,754,323,337,82,10,2
"E33020226","E01009325","E02001889",2011,754,323,337,82,10,2
"E33020226","E01009343","E02001889",2011,754,323,337,82,10,2
"E33020226","E01009342","E02001889",2011,754,323,337,82,10,2
"E33020227","E01009343","E02001889",2011,355,152,149,43,6,5
"E33020227","E01009342","E02001889",2011,355,152,149,43,6,5
"E33020228","E01008990","E02001890",2011,1037,533,400,92,9,3
"E33020228","E01008991","E02001890",2011,1037,533,400,92,9,3
"E33020228","E01008988","E02001890",2011,1037,533,400,92,9,3
"E33020229","E01008989","E02001890",2011,405,194,159,46,5,1
"E33020229","E01008991","E02001890",2011,405,194,159,46,5,1
"E33020230","E01008990","E02001890",2011,1281,693,472,101,12,3
"E33020231","E01008987","E02001890",2011,411,214,152,36,8,1
"E33020231","E01008988","E02001890",2011,411,214,152,36,8,1
"E33020232","E01008988","E02001890",2011,411,220,154,33,4,0
"E33020232","E01008986","E02001890",2011,411,220,154,33,4,0
"E33020233","E01008987","E02001890",2011,252,109,115,21,7,0
"E33020234","E01008989","E02001890",2011,335,176,122,32,4,1
