"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33020257","E01009519","E02001898",2011,386,142,1,6,21,3,1,174,15,0,19,4
"E33020258","E01009260","E02001899",2011,499,71,0,8,95,12,1,243,19,7,43,0
"E33020258","E01009252","E02001899",2011,499,71,0,8,95,12,1,243,19,7,43,0
"E33020259","E01009066","E02001899",2011,599,87,2,10,94,2,2,335,15,8,42,2
"E33020260","E01009260","E02001899",2011,696,64,0,4,67,2,1,508,17,2,31,0
"E33020260","E01009252","E02001899",2011,696,64,0,4,67,2,1,508,17,2,31,0
"E33020261","E01009261","E02001899",2011,281,80,0,5,24,2,2,138,13,0,14,3
"E33020262","E01009252","E02001899",2011,619,107,1,6,103,4,2,310,19,3,62,2
"E33020262","E01009070","E02001899",2011,619,107,1,6,103,4,2,310,19,3,62,2
"E33020263","E01008994","E02001900",2011,431,91,2,11,60,2,2,216,13,10,22,2
"E33020263","E01008997","E02001900",2011,431,91,2,11,60,2,2,216,13,10,22,2
"E33020264","E01008994","E02001900",2011,671,64,6,62,97,2,3,369,29,4,34,1
"E33020265","E01008996","E02001900",2011,404,91,2,7,65,4,0,175,12,6,40,2
"E33020265","E01008984","E02001900",2011,404,91,2,7,65,4,0,175,12,6,40,2
"E33020266","E01009072","E02001901",2011,401,79,1,4,47,0,2,220,11,7,30,0
"E33020267","E01009068","E02001901",2011,414,79,0,7,58,3,1,214,15,2,33,2
"E33020267","E01009067","E02001901",2011,414,79,0,7,58,3,1,214,15,2,33,2
"E33020268","E01009065","E02001901",2011,415,54,0,20,30,0,14,270,7,15,5,0
"E33020268","E01009067","E02001901",2011,415,54,0,20,30,0,14,270,7,15,5,0
"E33020268","E01009069","E02001901",2011,415,54,0,20,30,0,14,270,7,15,5,0
"E33020269","E01009069","E02001901",2011,316,44,1,6,43,1,0,173,20,2,26,0
"E33020270","E01009068","E02001901",2011,597,61,0,12,122,6,5,273,33,4,79,2
"E33020270","E01009069","E02001901",2011,597,61,0,12,122,6,5,273,33,4,79,2
"E33020271","E01009065","E02001901",2011,284,45,4,3,42,1,0,153,14,5,15,2
"E33020272","E01009068","E02001901",2011,382,47,2,2,62,11,0,191,15,4,45,3
"E33020273","E01008886","E02001902",2011,521,110,0,4,63,1,2,260,21,4,56,0
"E33020273","E01008885","E02001902",2011,521,110,0,4,63,1,2,260,21,4,56,0
"E33020273","E01008888","E02001902",2011,521,110,0,4,63,1,2,260,21,4,56,0
"E33020274","E01008886","E02001902",2011,283,32,0,4,36,5,0,165,13,4,23,1
"E33020274","E01008885","E02001902",2011,283,32,0,4,36,5,0,165,13,4,23,1
"E33020275","E01009313","E02001902",2011,332,44,1,3,19,0,1,194,14,4,52,0
"E33020276","E01009368","E02001903",2011,397,22,1,1,75,4,1,192,24,10,65,2
"E33020276","E01009371","E02001903",2011,397,22,1,1,75,4,1,192,24,10,65,2
"E33020277","E01009368","E02001903",2011,297,45,0,5,36,2,0,139,9,6,53,2
"E33020277","E01033650","E02001903",2011,297,45,0,5,36,2,0,139,9,6,53,2
"E33020278","E01033650","E02001903",2011,413,12,0,12,36,1,2,290,21,8,26,5
"E33020279","E01009397","E02001903",2011,551,31,2,8,70,6,3,316,26,2,83,4
"E33020280","E01009371","E02001903",2011,277,29,0,3,42,8,0,146,12,3,32,2
"E33020281","E01008883","E02001904",2011,281,53,1,1,46,6,0,147,9,4,10,4
"E33020281","E01008884","E02001904",2011,281,53,1,1,46,6,0,147,9,4,10,4
"E33020282","E01008884","E02001904",2011,328,11,0,4,32,6,3,222,17,9,24,0
"E33020283","E01008889","E02001904",2011,407,35,0,8,59,2,1,225,27,9,39,2
"E33020284","E01008883","E02001904",2011,622,20,1,5,110,8,2,354,38,7,71,6
"E33020284","E01008887","E02001904",2011,622,20,1,5,110,8,2,354,38,7,71,6
"E33020285","E01008887","E02001904",2011,369,21,1,2,62,5,4,232,15,1,26,0
"E33020286","E01008992","E02001905",2011,444,60,0,8,44,0,0,242,24,14,49,3
"E33020287","E01009283","E02001905",2011,305,75,1,11,47,1,0,126,15,5,19,5
"E33020288","E01008992","E02001905",2011,436,48,2,23,44,4,0,251,26,3,35,0
"E33020288","E01033631","E02001905",2011,436,48,2,23,44,4,0,251,26,3,35,0
"E33020289","E01033631","E02001905",2011,697,68,2,26,93,2,2,384,40,9,69,2
"E33020290","E01008982","E02001905",2011,1031,71,5,15,194,2,8,632,41,12,48,3
"E33020291","E01009249","E02001906",2011,263,41,0,0,20,1,1,155,7,8,29,1
"E33020291","E01009251","E02001906",2011,263,41,0,0,20,1,1,155,7,8,29,1
"E33020292","E01009250","E02001906",2011,305,48,0,4,22,0,2,188,16,0,25,0
"E33020293","E01009249","E02001906",2011,282,72,0,7,29,1,0,136,14,4,18,1
"E33020293","E01009257","E02001906",2011,282,72,0,7,29,1,0,136,14,4,18,1
"E33020294","E01009253","E02001906",2011,423,33,1,2,63,1,0,216,46,4,56,1
"E33020294","E01009250","E02001906",2011,423,33,1,2,63,1,0,216,46,4,56,1
"E33020295","E01009253","E02001906",2011,364,74,0,4,34,0,1,170,16,5,57,3
"E33020295","E01009251","E02001906",2011,364,74,0,4,34,0,1,170,16,5,57,3
"E33020296","E01009255","E02001906",2011,288,59,0,6,14,1,0,147,16,2,42,1
"E33020296","E01009257","E02001906",2011,288,59,0,6,14,1,0,147,16,2,42,1
"E33020297","E01009315","E02001907",2011,645,48,0,4,81,10,2,403,31,4,52,10
"E33020297","E01009317","E02001907",2011,645,48,0,4,81,10,2,403,31,4,52,10
"E33020297","E01009318","E02001907",2011,645,48,0,4,81,10,2,403,31,4,52,10
"E33020298","E01009316","E02001907",2011,575,66,0,17,53,3,4,380,15,2,33,2
"E33020298","E01009315","E02001907",2011,575,66,0,17,53,3,4,380,15,2,33,2
"E33020299","E01009319","E02001907",2011,393,93,0,4,38,2,2,194,22,2,33,3
"E33020299","E01009320","E02001907",2011,393,93,0,4,38,2,2,194,22,2,33,3
"E33020299","E01009315","E02001907",2011,393,93,0,4,38,2,2,194,22,2,33,3
"E33020300","E01009319","E02001907",2011,359,69,0,11,18,3,1,227,18,4,7,1
"E33020300","E01009320","E02001907",2011,359,69,0,11,18,3,1,227,18,4,7,1
"E33020300","E01009318","E02001907",2011,359,69,0,11,18,3,1,227,18,4,7,1
"E33020301","E01033643","E02001908",2011,368,49,0,4,47,6,0,202,24,4,28,4
"E33020302","E01009373","E02001908",2011,431,57,1,4,67,5,1,200,15,4,69,8
"E33020302","E01009372","E02001908",2011,431,57,1,4,67,5,1,200,15,4,69,8
"E33020302","E01033643","E02001908",2011,431,57,1,4,67,5,1,200,15,4,69,8
"E33020303","E01009396","E02001908",2011,229,17,0,6,25,1,0,122,14,1,40,3
"E33020304","E01009396","E02001908",2011,444,33,1,3,71,3,1,247,30,3,50,2
"E33020305","E01009383","E02001909",2011,474,70,0,4,86,5,0,191,16,9,89,4
"E33020305","E01009399","E02001909",2011,474,70,0,4,86,5,0,191,16,9,89,4
"E33020306","E01009377","E02001909",2011,310,21,0,5,62,0,3,150,11,6,51,1
"E33020306","E01009375","E02001909",2011,310,21,0,5,62,0,3,150,11,6,51,1
"E33020307","E01009367","E02001909",2011,386,27,1,5,54,1,1,227,10,3,56,1
"E33020307","E01009375","E02001909",2011,386,27,1,5,54,1,1,227,10,3,56,1
"E33020308","E01009377","E02001909",2011,456,27,1,12,71,1,1,239,24,5,70,5
"E33020308","E01009375","E02001909",2011,456,27,1,12,71,1,1,239,24,5,70,5
"E33020309","E01033648","E02001910",2011,528,78,0,4,55,4,1,279,27,9,68,3
"E33020309","E01009376","E02001910",2011,528,78,0,4,55,4,1,279,27,9,68,3
"E33020310","E01009374","E02001910",2011,575,64,0,12,80,8,1,313,22,8,62,5
"E33020310","E01009366","E02001910",2011,575,64,0,12,80,8,1,313,22,8,62,5
"E33020310","E01009376","E02001910",2011,575,64,0,12,80,8,1,313,22,8,62,5
"E33020311","E01009376","E02001910",2011,262,21,2,9,43,2,0,133,10,5,33,4
"E33020312","E01009254","E02001911",2011,294,25,0,3,42,1,0,132,23,2,64,2
"E33020312","E01009256","E02001911",2011,294,25,0,3,42,1,0,132,23,2,64,2
"E33020313","E01009256","E02001911",2011,318,80,0,10,27,1,1,159,15,3,21,1
"E33020313","E01009254","E02001911",2011,318,80,0,10,27,1,1,159,15,3,21,1
"E33020313","E01009258","E02001911",2011,318,80,0,10,27,1,1,159,15,3,21,1
"E33020314","E01009073","E02001911",2011,371,70,0,3,51,1,0,192,10,4,40,0
"E33020314","E01009074","E02001911",2011,371,70,0,3,51,1,0,192,10,4,40,0
"E33020314","E01009258","E02001911",2011,371,70,0,3,51,1,0,192,10,4,40,0
"E33020315","E01033562","E02001913",2011,351,64,3,8,69,3,1,156,13,4,28,2
"E33020315","E01009078","E02001913",2011,351,64,3,8,69,3,1,156,13,4,28,2
"E33020316","E01009071","E02001913",2011,331,49,1,8,46,1,0,158,17,3,47,1
"E33020317","E01033562","E02001913",2011,287,91,2,10,41,0,2,119,6,1,12,3
"E33020317","E01009071","E02001913",2011,287,91,2,10,41,0,2,119,6,1,12,3
"E33020317","E01009075","E02001913",2011,287,91,2,10,41,0,2,119,6,1,12,3
"E33020318","E01009186","E02001914",2011,259,95,0,5,20,3,1,104,8,9,13,1
"E33020318","E01009183","E02001914",2011,259,95,0,5,20,3,1,104,8,9,13,1
"E33020319","E01033645","E02001914",2011,495,56,1,17,122,6,2,206,25,17,40,3
"E33020319","E01009183","E02001914",2011,495,56,1,17,122,6,2,206,25,17,40,3
"E33020320","E01009183","E02001914",2011,282,31,0,4,33,2,1,177,3,6,25,0
"E33020320","E01009186","E02001914",2011,282,31,0,4,33,2,1,177,3,6,25,0
"E33020321","E01033645","E02001914",2011,434,75,0,11,89,7,1,168,26,5,51,1
"E33020322","E01008893","E02001915",2011,387,43,1,11,54,2,8,211,13,6,36,2
"E33020322","E01008894","E02001915",2011,387,43,1,11,54,2,8,211,13,6,36,2
"E33020323","E01008890","E02001915",2011,314,35,0,5,35,5,0,181,16,4,33,0
"E33020323","E01008892","E02001915",2011,314,35,0,5,35,5,0,181,16,4,33,0
"E33020324","E01008892","E02001915",2011,428,55,0,3,37,3,1,266,17,4,42,0
"E33020324","E01008890","E02001915",2011,428,55,0,3,37,3,1,266,17,4,42,0
"E33020324","E01008893","E02001915",2011,428,55,0,3,37,3,1,266,17,4,42,0
"E33020325","E01008891","E02001915",2011,381,94,0,13,21,4,3,199,13,3,29,2
"E33020325","E01008895","E02001915",2011,381,94,0,13,21,4,3,199,13,3,29,2
"E33020326","E01008891","E02001915",2011,310,64,0,8,35,1,1,142,10,5,40,4
"E33020326","E01008893","E02001915",2011,310,64,0,8,35,1,1,142,10,5,40,4
"E33020326","E01008890","E02001915",2011,310,64,0,8,35,1,1,142,10,5,40,4
"E33020327","E01008894","E02001915",2011,751,19,0,9,149,4,1,362,44,9,152,2
"E33020327","E01009015","E02001915",2011,751,19,0,9,149,4,1,362,44,9,152,2
"E33020328","E01008894","E02001915",2011,382,55,0,7,31,12,2,231,19,1,18,6
"E33020328","E01008895","E02001915",2011,382,55,0,7,31,12,2,231,19,1,18,6
"E33020328","E01009015","E02001915",2011,382,55,0,7,31,12,2,231,19,1,18,6
"E33020329","E01008894","E02001915",2011,539,18,1,9,104,8,2,234,33,4,123,3
"E33020330","E01009029","E02001916",2011,452,34,0,11,73,7,1,230,23,2,71,0
"E33020330","E01009018","E02001916",2011,452,34,0,11,73,7,1,230,23,2,71,0
"E33020331","E01009014","E02001916",2011,512,41,1,13,36,2,3,348,30,9,26,3
"E33020332","E01009018","E02001916",2011,244,51,0,4,29,1,0,139,8,0,9,3
"E33020333","E01009026","E02001916",2011,343,32,2,7,38,4,3,206,23,4,23,1
"E33020333","E01009028","E02001916",2011,343,32,2,7,38,4,3,206,23,4,23,1
"E33020334","E01009028","E02001916",2011,540,35,0,6,85,3,4,277,14,7,106,3
"E33020334","E01009029","E02001916",2011,540,35,0,6,85,3,4,277,14,7,106,3
"E33020335","E01009385","E02001918",2011,231,51,0,2,45,0,0,97,6,0,26,4
"E33020336","E01009182","E02001918",2011,429,61,0,12,74,1,2,207,17,7,45,3
"E33020336","E01009184","E02001918",2011,429,61,0,12,74,1,2,207,17,7,45,3
"E33020337","E01009187","E02001918",2011,293,123,0,12,30,2,2,93,9,13,8,1
"E33020337","E01009188","E02001918",2011,293,123,0,12,30,2,2,93,9,13,8,1
"E33020338","E01009384","E02001918",2011,266,66,0,2,32,3,0,118,15,10,18,2
"E33020339","E01009182","E02001918",2011,264,39,0,3,43,6,0,108,15,4,41,5
"E33020340","E01009384","E02001918",2011,420,33,1,3,88,4,2,202,20,7,58,2
"E33020340","E01009385","E02001918",2011,420,33,1,3,88,4,2,202,20,7,58,2
"E33020341","E01009188","E02001918",2011,490,52,0,5,93,5,5,247,26,9,46,2
"E33020341","E01009184","E02001918",2011,490,52,0,5,93,5,5,247,26,9,46,2
"E33020341","E01009187","E02001918",2011,490,52,0,5,93,5,5,247,26,9,46,2
"E33020342","E01009184","E02001918",2011,234,29,0,0,40,0,1,116,12,2,34,0
"E33020342","E01009187","E02001918",2011,234,29,0,0,40,0,1,116,12,2,34,0
"E33020343","E01009389","E02001919",2011,341,146,0,7,29,9,0,132,7,3,5,3
"E33020343","E01009394","E02001919",2011,341,146,0,7,29,9,0,132,7,3,5,3
"E33020343","E01009390","E02001919",2011,341,146,0,7,29,9,0,132,7,3,5,3
"E33020343","E01009185","E02001919",2011,341,146,0,7,29,9,0,132,7,3,5,3
"E33020344","E01009185","E02001919",2011,466,124,2,8,63,6,3,197,18,6,36,3
"E33020344","E01009390","E02001919",2011,466,124,2,8,63,6,3,197,18,6,36,3
"E33020345","E01008920","E02001920",2011,346,52,0,0,32,2,0,206,14,4,34,2
"E33020345","E01008918","E02001920",2011,346,52,0,0,32,2,0,206,14,4,34,2
"E33020346","E01008920","E02001920",2011,823,15,1,14,65,2,5,631,50,19,20,1
"E33020346","E01008931","E02001920",2011,823,15,1,14,65,2,5,631,50,19,20,1
"E33020346","E01008918","E02001920",2011,823,15,1,14,65,2,5,631,50,19,20,1
"E33020347","E01008921","E02001920",2011,465,45,4,6,47,4,7,287,31,6,27,1
"E33020348","E01009259","E02001920",2011,277,36,0,1,42,0,0,152,12,2,30,2
"E33020348","E01008918","E02001920",2011,277,36,0,1,42,0,0,152,12,2,30,2
"E33020348","E01008931","E02001920",2011,277,36,0,1,42,0,0,152,12,2,30,2
"E33020349","E01009259","E02001920",2011,1030,17,1,6,53,4,5,896,19,8,18,3
"E33020350","E01009500","E02001921",2011,240,29,1,2,43,7,0,111,16,4,27,0
"E33020350","E01009064","E02001921",2011,240,29,1,2,43,7,0,111,16,4,27,0
"E33020351","E01008919","E02001921",2011,435,49,2,5,43,0,3,289,20,9,15,0
"E33020352","E01009077","E02001921",2011,409,144,1,2,46,2,0,174,21,2,12,5
"E33020352","E01009064","E02001921",2011,409,144,1,2,46,2,0,174,21,2,12,5
"E33020352","E01009291","E02001921",2011,409,144,1,2,46,2,0,174,21,2,12,5
"E33020353","E01009290","E02001922",2011,395,37,1,12,45,5,1,218,17,3,56,0
"E33020353","E01009286","E02001922",2011,395,37,1,12,45,5,1,218,17,3,56,0
"E33020354","E01033634","E02001922",2011,359,40,2,23,43,3,5,173,21,5,43,1
"E33020354","E01009286","E02001922",2011,359,40,2,23,43,3,5,173,21,5,43,1
"E33020355","E01009289","E02001922",2011,256,38,1,12,37,2,0,129,6,6,25,0
"E33020355","E01033634","E02001922",2011,256,38,1,12,37,2,0,129,6,6,25,0
"E33020356","E01009284","E02001922",2011,729,44,0,42,88,6,4,424,42,13,63,3
"E33020356","E01009290","E02001922",2011,729,44,0,42,88,6,4,424,42,13,63,3
"E33020356","E01009289","E02001922",2011,729,44,0,42,88,6,4,424,42,13,63,3
"E33020357","E01009284","E02001922",2011,876,27,1,49,206,6,2,444,39,20,78,4
"E33020358","E01033634","E02001922",2011,326,39,3,18,63,1,2,119,20,1,59,1
"E33020358","E01009289","E02001922",2011,326,39,3,18,63,1,2,119,20,1,59,1
"E33020359","E01009044","E02001923",2011,296,47,2,10,57,8,1,124,23,2,18,4
"E33020359","E01009045","E02001923",2011,296,47,2,10,57,8,1,124,23,2,18,4
"E33020360","E01009017","E02001923",2011,434,82,1,1,59,4,0,196,23,7,56,5
"E33020360","E01009043","E02001923",2011,434,82,1,1,59,4,0,196,23,7,56,5
"E33020361","E01009045","E02001923",2011,593,23,0,9,85,2,1,365,20,5,80,3
"E33020361","E01009043","E02001923",2011,593,23,0,9,85,2,1,365,20,5,80,3
"E33020362","E01009046","E02001923",2011,570,37,1,23,33,3,5,409,21,14,21,3
"E33020362","E01009045","E02001923",2011,570,37,1,23,33,3,5,409,21,14,21,3
"E33020362","E01009043","E02001923",2011,570,37,1,23,33,3,5,409,21,14,21,3
"E33020363","E01009395","E02001923",2011,501,60,2,5,76,5,1,263,18,17,49,5
"E33020363","E01009045","E02001923",2011,501,60,2,5,76,5,1,263,18,17,49,5
"E33020364","E01009046","E02001923",2011,395,64,0,7,32,1,2,222,22,4,41,0
"E33020365","E01009022","E02001924",2011,412,94,3,10,35,2,1,220,24,2,19,2
"E33020365","E01009030","E02001924",2011,412,94,3,10,35,2,1,220,24,2,19,2
"E33020365","E01009023","E02001924",2011,412,94,3,10,35,2,1,220,24,2,19,2
"E33020366","E01009016","E02001924",2011,274,34,0,2,29,3,1,157,19,1,28,0
"E33020366","E01009022","E02001924",2011,274,34,0,2,29,3,1,157,19,1,28,0
"E33020367","E01009016","E02001924",2011,262,21,0,14,28,0,2,173,7,11,5,1
"E33020368","E01009022","E02001924",2011,430,66,0,9,24,4,4,251,27,1,42,2
"E33020368","E01009023","E02001924",2011,430,66,0,9,24,4,4,251,27,1,42,2
"E33020369","E01009294","E02001925",2011,347,121,3,8,32,3,1,138,15,1,23,2
"E33020369","E01009295","E02001925",2011,347,121,3,8,32,3,1,138,15,1,23,2
"E33020369","E01009292","E02001925",2011,347,121,3,8,32,3,1,138,15,1,23,2
"E33020370","E01009281","E02001925",2011,482,30,1,15,117,5,1,242,23,6,41,1
"E33020371","E01009294","E02001925",2011,315,41,1,17,29,1,0,195,3,8,19,1
"E33020372","E01009295","E02001925",2011,270,29,0,10,52,0,1,126,15,8,28,1
"E33020373","E01009280","E02001926",2011,573,48,0,32,26,1,1,410,13,7,35,0
"E33020373","E01009282","E02001926",2011,573,48,0,32,26,1,1,410,13,7,35,0
"E33020374","E01009293","E02001926",2011,282,76,0,10,31,2,3,137,10,2,8,3
"E33020374","E01009282","E02001926",2011,282,76,0,10,31,2,3,137,10,2,8,3
"E33020375","E01009288","E02001926",2011,352,64,3,10,76,2,2,136,22,2,34,1
"E33020376","E01009288","E02001926",2011,431,58,0,5,89,6,4,203,12,13,37,4
"E33020376","E01009296","E02001926",2011,431,58,0,5,89,6,4,203,12,13,37,4
"E33020377","E01009282","E02001926",2011,456,17,5,14,76,1,1,280,17,9,35,1
"E33020378","E01009505","E02001927",2011,419,39,0,3,36,1,1,243,18,7,69,2
"E33020378","E01009501","E02001927",2011,419,39,0,3,36,1,1,243,18,7,69,2
"E33020379","E01009501","E02001927",2011,365,35,0,6,48,2,1,169,26,1,76,1
"E33020379","E01009502","E02001927",2011,365,35,0,6,48,2,1,169,26,1,76,1
"E33020380","E01009501","E02001927",2011,311,47,3,4,20,0,3,168,23,2,40,1
"E33020380","E01009503","E02001927",2011,311,47,3,4,20,0,3,168,23,2,40,1
"E33020380","E01009502","E02001927",2011,311,47,3,4,20,0,3,168,23,2,40,1
"E33020381","E01009502","E02001927",2011,328,64,0,4,46,2,0,137,16,1,51,7
"E33020381","E01008924","E02001927",2011,328,64,0,4,46,2,0,137,16,1,51,7
"E33020382","E01008923","E02001928",2011,279,39,1,0,32,2,1,137,10,4,52,1
"E33020382","E01008928","E02001928",2011,279,39,1,0,32,2,1,137,10,4,52,1
"E33020383","E01008917","E02001928",2011,809,100,0,9,44,4,4,531,48,10,58,1
"E33020383","E01008923","E02001928",2011,809,100,0,9,44,4,4,531,48,10,58,1
"E33020383","E01008925","E02001928",2011,809,100,0,9,44,4,4,531,48,10,58,1
"E33020383","E01008927","E02001928",2011,809,100,0,9,44,4,4,531,48,10,58,1
"E33020384","E01009024","E02001929",2011,506,110,0,4,55,1,1,262,24,3,44,2
"E33020384","E01009025","E02001929",2011,506,110,0,4,55,1,1,262,24,3,44,2
"E33020384","E01009019","E02001929",2011,506,110,0,4,55,1,1,262,24,3,44,2
"E33020384","E01009033","E02001929",2011,506,110,0,4,55,1,1,262,24,3,44,2
"E33020385","E01009021","E02001929",2011,366,75,0,4,33,0,0,189,28,4,31,2
"E33020385","E01009019","E02001929",2011,366,75,0,4,33,0,0,189,28,4,31,2
"E33020385","E01009020","E02001929",2011,366,75,0,4,33,0,0,189,28,4,31,2
"E33020385","E01009025","E02001929",2011,366,75,0,4,33,0,0,189,28,4,31,2
"E33020386","E01009179","E02001930",2011,572,62,0,6,46,1,2,346,29,8,69,3
"E33020387","E01009189","E02001930",2011,301,138,1,3,27,0,3,107,6,5,10,1
"E33020387","E01009175","E02001930",2011,301,138,1,3,27,0,3,107,6,5,10,1
"E33020388","E01009178","E02001930",2011,481,118,1,7,69,1,0,182,26,12,60,5
"E33020388","E01009177","E02001930",2011,481,118,1,7,69,1,0,182,26,12,60,5
"E33020389","E01009175","E02001930",2011,801,41,0,9,165,4,4,436,38,14,89,1
"E33020390","E01009176","E02001931",2011,261,62,0,10,26,4,0,130,5,0,23,1
"E33020391","E01009031","E02001931",2011,407,57,1,7,38,2,2,239,20,3,37,1
"E33020392","E01009037","E02001931",2011,266,59,2,4,22,1,0,154,13,3,8,0
"E33020393","E01008933","E02001931",2011,352,102,0,10,25,7,1,172,22,3,7,3
"E33020393","E01008934","E02001931",2011,352,102,0,10,25,7,1,172,22,3,7,3
"E33020394","E01008929","E02001932",2011,416,63,0,6,20,0,1,271,14,4,36,1
"E33020394","E01008930","E02001932",2011,416,63,0,6,20,0,1,271,14,4,36,1
"E33020394","E01033629","E02001932",2011,416,63,0,6,20,0,1,271,14,4,36,1
"E33020395","E01033629","E02001932",2011,716,76,0,12,97,0,4,410,29,5,81,2
"E33020396","E01009495","E02001932",2011,333,39,0,0,44,3,4,195,11,5,31,1
"E33020396","E01008929","E02001932",2011,333,39,0,0,44,3,4,195,11,5,31,1
"E33020397","E01008966","E02001933",2011,333,71,0,5,45,2,1,152,15,4,37,1
"E33020397","E01008953","E02001933",2011,333,71,0,5,45,2,1,152,15,4,37,1
"E33020398","E01008964","E02001933",2011,366,43,0,7,37,0,0,218,12,4,43,2
"E33020398","E01008963","E02001933",2011,366,43,0,7,37,0,0,218,12,4,43,2
"E33020399","E01008963","E02001933",2011,439,86,0,8,62,2,1,189,19,7,64,1
"E33020399","E01008965","E02001933",2011,439,86,0,8,62,2,1,189,19,7,64,1
"E33020399","E01008964","E02001933",2011,439,86,0,8,62,2,1,189,19,7,64,1
"E33020400","E01008953","E02001933",2011,737,59,1,23,80,2,4,470,23,12,57,6
"E33020400","E01008965","E02001933",2011,737,59,1,23,80,2,4,470,23,12,57,6
"E33020401","E01009035","E02001934",2011,904,151,1,22,91,10,3,485,46,11,81,3
"E33020401","E01009032","E02001934",2011,904,151,1,22,91,10,3,485,46,11,81,3
"E33020402","E01009034","E02001934",2011,629,130,2,9,76,5,3,322,28,6,47,1
"E33020402","E01009036","E02001934",2011,629,130,2,9,76,5,3,322,28,6,47,1
"E33020403","E01009506","E02001935",2011,328,103,0,9,26,4,2,154,15,3,12,0
"E33020403","E01009494","E02001935",2011,328,103,0,9,26,4,2,154,15,3,12,0
"E33020403","E01009496","E02001935",2011,328,103,0,9,26,4,2,154,15,3,12,0
"E33020404","E01009496","E02001935",2011,414,68,1,3,54,4,3,216,25,0,39,1
"E33020404","E01009497","E02001935",2011,414,68,1,3,54,4,3,216,25,0,39,1
"E33020405","E01009504","E02001935",2011,255,61,0,4,31,0,0,96,22,4,36,1
"E33020406","E01009497","E02001935",2011,577,16,2,11,112,5,4,316,31,8,70,2
"E33020407","E01008967","E02001936",2011,345,64,0,2,20,0,2,230,17,3,6,1
"E33020407","E01008970","E02001936",2011,345,64,0,2,20,0,2,230,17,3,6,1
"E33020408","E01008981","E02001936",2011,422,63,1,8,68,0,3,210,20,4,44,1
"E33020408","E01008967","E02001936",2011,422,63,1,8,68,0,3,210,20,4,44,1
"E33020409","E01008981","E02001936",2011,363,73,0,8,41,1,1,164,13,7,54,1
"E33020409","E01008967","E02001936",2011,363,73,0,8,41,1,1,164,13,7,54,1
"E33020409","E01008968","E02001936",2011,363,73,0,8,41,1,1,164,13,7,54,1
"E33020410","E01008968","E02001936",2011,394,76,4,3,45,1,1,221,8,5,30,0
"E33020411","E01008935","E02001937",2011,330,85,1,7,30,2,0,163,18,3,18,3
"E33020411","E01008939","E02001937",2011,330,85,1,7,30,2,0,163,18,3,18,3
"E33020411","E01008938","E02001937",2011,330,85,1,7,30,2,0,163,18,3,18,3
"E33020412","E01008932","E02001937",2011,496,52,1,2,40,0,0,293,40,15,50,3
"E33020412","E01008935","E02001937",2011,496,52,1,2,40,0,0,293,40,15,50,3
"E33020413","E01008935","E02001937",2011,518,74,1,13,71,5,2,262,23,7,57,3
"E33020413","E01008936","E02001937",2011,518,74,1,13,71,5,2,262,23,7,57,3
"E33020414","E01008952","E02001938",2011,500,29,2,14,72,4,3,277,16,14,65,4
"E33020414","E01008955","E02001938",2011,500,29,2,14,72,4,3,277,16,14,65,4
"E33020415","E01008956","E02001938",2011,392,44,0,14,38,4,1,218,24,4,44,1
"E33020416","E01008957","E02001938",2011,398,31,0,6,37,0,4,257,30,9,20,4
"E33020417","E01008956","E02001938",2011,289,56,0,10,24,2,3,159,12,2,21,0
"E33020417","E01008955","E02001938",2011,289,56,0,10,24,2,3,159,12,2,21,0
"E33020417","E01008951","E02001938",2011,289,56,0,10,24,2,3,159,12,2,21,0
"E33020418","E01008957","E02001938",2011,230,26,0,0,22,5,4,140,6,1,22,4
"E33020419","E01008952","E02001938",2011,359,33,1,17,43,4,1,189,24,7,39,1
"E33020419","E01008955","E02001938",2011,359,33,1,17,43,4,1,189,24,7,39,1
"E33020420","E01008951","E02001938",2011,278,44,0,8,27,1,2,144,12,5,33,2
"E33020421","E01008952","E02001938",2011,418,28,0,16,34,2,1,260,27,15,34,1
"E33020422","E01008954","E02001939",2011,1546,83,2,40,241,4,2,925,86,24,137,2
"E33020422","E01008958","E02001939",2011,1546,83,2,40,241,4,2,925,86,24,137,2
"E33020422","E01009493","E02001939",2011,1546,83,2,40,241,4,2,925,86,24,137,2
"E33020423","E01009493","E02001939",2011,594,71,1,16,60,0,5,356,26,15,41,3
"E33020423","E01008950","E02001939",2011,594,71,1,16,60,0,5,356,26,15,41,3
"E33020423","E01008954","E02001939",2011,594,71,1,16,60,0,5,356,26,15,41,3
"E33020424","E01008937","E02001941",2011,328,67,0,4,16,1,0,208,16,1,14,1
"E33020424","E01008940","E02001941",2011,328,67,0,4,16,1,0,208,16,1,14,1
"E33020424","E01008944","E02001941",2011,328,67,0,4,16,1,0,208,16,1,14,1
