"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33019866","E01033561","E02001876",2011,406,0,8,35,58,0,0,255,19,5,26,0
"E33019867","E01033561","E02001876",2011,228,2,0,11,39,0,2,141,15,9,9,0
"E33019868","E01033561","E02001876",2011,1939,32,16,414,387,4,9,741,59,49,221,7
"E33019869","E01033561","E02001876",2011,254,4,0,9,40,0,2,173,14,2,10,0
"E33019870","E01033561","E02001876",2011,1577,0,9,57,356,5,5,1009,67,5,61,3
"E33019871","E01033561","E02001876",2011,305,0,0,19,45,3,1,209,16,1,11,0
"E33019872","E01033561","E02001876",2011,474,0,0,10,84,3,3,325,36,4,9,0
"E33019873","E01033561","E02001876",2011,397,4,1,57,51,0,1,252,6,4,21,0
"E33019874","E01009345","E02001879",2011,1090,79,16,12,87,2,6,785,41,20,37,5
"E33019875","E01033620","E02006899",2011,310,1,7,82,82,2,4,108,7,4,13,0
"E33019876","E01033620","E02006899",2011,515,1,11,226,108,1,3,102,14,7,42,0
"E33019877","E01033620","E02006899",2011,406,0,8,104,110,3,0,132,25,2,21,1
"E33019878","E01033620","E02006899",2011,697,0,23,273,148,0,2,156,23,9,62,1
"E33019879","E01033620","E02006899",2011,1925,0,10,213,419,9,11,979,68,41,172,3
"E33019880","E01033620","E02006899",2011,390,0,11,127,102,1,0,108,16,2,23,0
"E33019881","E01033620","E02006899",2011,1589,0,48,553,187,2,3,603,37,16,138,2
"E33019882","E01033620","E02006899",2011,1138,0,12,505,184,2,2,343,25,9,54,2
"E33019883","E01033620","E02006899",2011,294,0,5,83,84,0,0,86,11,4,20,1
"E33019884","E01033620","E02006899",2011,512,0,8,155,159,4,5,113,8,7,53,0
"E33019885","E01033620","E02006899",2011,254,1,6,81,51,0,0,95,8,1,11,0
"E33019886","E01033620","E02006899",2011,1743,0,53,892,243,1,9,389,27,10,117,2
"E33019887","E01033620","E02006899",2011,1341,0,12,409,289,2,1,485,38,12,92,1
"E33019888","E01033620","E02006899",2011,1063,0,41,425,230,2,8,273,15,12,56,1
"E33019889","E01033620","E02006899",2011,409,0,11,194,69,0,3,71,12,10,38,1
