"wz11cd","lsoa11cd","msoa11cd","date","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value","Tenure: Owned: Total; measures: Value:value%","Tenure: Owned: Owned outright; measures: Value:value%","Tenure: Owned: Owned with a mortgage or loan; measures: Value:value%","Tenure: Shared ownership (part owned and part rented); measures: Value:value%","Tenure: Social rented: Total; measures: Value:value%","Tenure: Social rented: Rented from council (Local Authority); measures: Value:value%","Tenure: Social rented: Other social rented; measures: Value:value%","Tenure: Private rented: Total; measures: Value:value%","Tenure: Private rented: Private landlord or letting agency; measures: Value:value%","Tenure: Private rented: Employer of a household member; measures: Value:value%","Tenure: Private rented: Relative or friend of household member; measures: Value:value%","Tenure: Private rented: Other; measures: Value:value%","Tenure: Living rent free; measures: Value:value%"
"E33020398","E01008964","E02001933",2011,366,286,78,208,2,31,23,8,46,42,2,1,1,1,78.1420765027322,21.3114754098361,56.8306010928962,0.546448087431694,8.46994535519126,6.28415300546448,2.18579234972678,12.568306010929,11.4754098360656,0.546448087431694,0.273224043715847,0.273224043715847,0.273224043715847
"E33020398","E01008963","E02001933",2011,366,286,78,208,2,31,23,8,46,42,2,1,1,1,78.1420765027322,21.3114754098361,56.8306010928962,0.546448087431694,8.46994535519126,6.28415300546448,2.18579234972678,12.568306010929,11.4754098360656,0.546448087431694,0.273224043715847,0.273224043715847,0.273224043715847
"E33020399","E01008963","E02001933",2011,439,279,69,210,6,73,54,19,73,68,3,2,0,8,63.5535307517084,15.7175398633257,47.8359908883827,1.36674259681093,16.628701594533,12.3006833712984,4.32801822323462,16.628701594533,15.4897494305239,0.683371298405467,0.455580865603645,0,1.82232346241458
"E33020399","E01008965","E02001933",2011,439,279,69,210,6,73,54,19,73,68,3,2,0,8,63.5535307517084,15.7175398633257,47.8359908883827,1.36674259681093,16.628701594533,12.3006833712984,4.32801822323462,16.628701594533,15.4897494305239,0.683371298405467,0.455580865603645,0,1.82232346241458
"E33020399","E01008964","E02001933",2011,439,279,69,210,6,73,54,19,73,68,3,2,0,8,63.5535307517084,15.7175398633257,47.8359908883827,1.36674259681093,16.628701594533,12.3006833712984,4.32801822323462,16.628701594533,15.4897494305239,0.683371298405467,0.455580865603645,0,1.82232346241458
"E33020400","E01008953","E02001933",2011,737,562,164,398,7,75,37,38,88,79,0,8,1,5,76.2550881953867,22.2523744911805,54.0027137042062,0.949796472184532,10.1763907734057,5.02035278154681,5.15603799185889,11.9402985074627,10.719131614654,0,1.08548168249661,0.135685210312076,0.67842605156038
"E33020400","E01008965","E02001933",2011,737,562,164,398,7,75,37,38,88,79,0,8,1,5,76.2550881953867,22.2523744911805,54.0027137042062,0.949796472184532,10.1763907734057,5.02035278154681,5.15603799185889,11.9402985074627,10.719131614654,0,1.08548168249661,0.135685210312076,0.67842605156038
"E33020401","E01009035","E02001934",2011,901,676,216,460,6,66,49,17,140,135,1,3,1,13,75.0277469478357,23.9733629300777,51.054384017758,0.665926748057714,7.32519422863485,5.43840177580466,1.88679245283019,15.5382907880133,14.9833518312986,0.110987791342952,0.332963374028857,0.110987791342952,1.44284128745838
"E33020401","E01009032","E02001934",2011,901,676,216,460,6,66,49,17,140,135,1,3,1,13,75.0277469478357,23.9733629300777,51.054384017758,0.665926748057714,7.32519422863485,5.43840177580466,1.88679245283019,15.5382907880133,14.9833518312986,0.110987791342952,0.332963374028857,0.110987791342952,1.44284128745838
"E33020402","E01009034","E02001934",2011,629,474,161,313,4,48,33,15,99,90,0,7,2,4,75.3577106518283,25.5961844197138,49.7615262321145,0.635930047694754,7.63116057233704,5.24642289348172,2.38473767885533,15.7392686804452,14.308426073132,0,1.11287758346582,0.317965023847377,0.635930047694754
