"Geographic_location","lsoa11cd","msoa11cd","date","EthnicGroup_total","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British","EthnicGroup:White:Irish;measures:Value","Ethnic Group:White:GypsyorIrishTraveller;measures: Value","EthnicGroup:White:Other White;measures:Value","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value","Ethnic Group:White:English/Welsh/Scottish/Northern Irish/British:value%","EthnicGroup:White:Irish;measures:Value:value%","Ethnic Group:White:GypsyorIrishTraveller;measures: Value:value%","EthnicGroup:White:Other White;measures:Value:value%","Ethnic Group:Mixed/multipleethnic group:White and BlackCaribbean;measures:Value:value%","Ethnic Group:Mixed/multipleethnicgroup:WhiteandBlack African;measures:Value:value%","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value:value%","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value:value%","Ethnic Group: Asian/Asian British: Indian; measures: Value:value%","Ethnic Group: Asian/Asian British: Pakistani; measures: Value:value%","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value:value%","Ethnic Group: Asian/Asian British: Chinese; measures: Value:value%","Ethnic Group: Asian/Asian British: Other Asian; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value:value%","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value:value%","Ethnic Group: Other ethnic group: Arab; measures: Value:value%","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value:value%"
"E33020407","E01008967","E02001936",2011,345,277,5,0,1,3,0,2,0,17,7,1,3,6,1,18,1,0,3,80.2898550724638,1.44927536231884,0,0.289855072463768,0.869565217391304,0,0.579710144927536,0,4.92753623188406,2.02898550724638,0.289855072463768,0.869565217391304,1.73913043478261,0.289855072463768,5.21739130434783,0.289855072463768,0,0.869565217391304
"E33020407","E01008970","E02001936",2011,345,277,5,0,1,3,0,2,0,17,7,1,3,6,1,18,1,0,3,80.2898550724638,1.44927536231884,0,0.289855072463768,0.869565217391304,0,0.579710144927536,0,4.92753623188406,2.02898550724638,0.289855072463768,0.869565217391304,1.73913043478261,0.289855072463768,5.21739130434783,0.289855072463768,0,0.869565217391304
"E33020408","E01008981","E02001936",2011,422,291,7,0,17,8,0,0,2,26,33,3,3,10,9,11,1,0,1,68.957345971564,1.65876777251185,0,4.02843601895735,1.8957345971564,0,0,0.4739336492891,6.16113744075829,7.81990521327014,0.710900473933649,0.710900473933649,2.3696682464455,2.13270142180095,2.60663507109005,0.23696682464455,0,0.23696682464455
"E33020408","E01008967","E02001936",2011,422,291,7,0,17,8,0,0,2,26,33,3,3,10,9,11,1,0,1,68.957345971564,1.65876777251185,0,4.02843601895735,1.8957345971564,0,0,0.4739336492891,6.16113744075829,7.81990521327014,0.710900473933649,0.710900473933649,2.3696682464455,2.13270142180095,2.60663507109005,0.23696682464455,0,0.23696682464455
"E33020409","E01008981","E02001936",2011,363,280,15,0,10,0,0,4,0,15,19,0,1,9,3,4,0,1,2,77.1349862258953,4.13223140495868,0,2.75482093663912,0,0,1.10192837465565,0,4.13223140495868,5.23415977961433,0,0.275482093663912,2.47933884297521,0.826446280991736,1.10192837465565,0,0.275482093663912,0.550964187327824
"E33020409","E01008967","E02001936",2011,363,280,15,0,10,0,0,4,0,15,19,0,1,9,3,4,0,1,2,77.1349862258953,4.13223140495868,0,2.75482093663912,0,0,1.10192837465565,0,4.13223140495868,5.23415977961433,0,0.275482093663912,2.47933884297521,0.826446280991736,1.10192837465565,0,0.275482093663912,0.550964187327824
"E33020409","E01008968","E02001936",2011,363,280,15,0,10,0,0,4,0,15,19,0,1,9,3,4,0,1,2,77.1349862258953,4.13223140495868,0,2.75482093663912,0,0,1.10192837465565,0,4.13223140495868,5.23415977961433,0,0.275482093663912,2.47933884297521,0.826446280991736,1.10192837465565,0,0.275482093663912,0.550964187327824
"E33020410","E01008968","E02001936",2011,394,289,19,0,8,2,0,3,3,22,19,3,0,9,4,6,0,2,5,73.3502538071066,4.82233502538071,0,2.03045685279188,0.50761421319797,0,0.761421319796954,0.761421319796954,5.58375634517767,4.82233502538071,0.761421319796954,0,2.28426395939086,1.01522842639594,1.52284263959391,0,0.50761421319797,1.26903553299492
"E33020411","E01008935","E02001937",2011,330,227,13,0,8,9,1,1,1,20,18,2,1,8,2,11,4,2,2,68.7878787878788,3.93939393939394,0,2.42424242424242,2.72727272727273,0.303030303030303,0.303030303030303,0.303030303030303,6.06060606060606,5.45454545454545,0.606060606060606,0.303030303030303,2.42424242424242,0.606060606060606,3.33333333333333,1.21212121212121,0.606060606060606,0.606060606060606
"E33020411","E01008939","E02001937",2011,330,227,13,0,8,9,1,1,1,20,18,2,1,8,2,11,4,2,2,68.7878787878788,3.93939393939394,0,2.42424242424242,2.72727272727273,0.303030303030303,0.303030303030303,0.303030303030303,6.06060606060606,5.45454545454545,0.606060606060606,0.303030303030303,2.42424242424242,0.606060606060606,3.33333333333333,1.21212121212121,0.606060606060606,0.606060606060606
